Files already downloaded and verified
Files already downloaded and verified
prune rate 0.6 regularization odecay 1.0
train 0 ====> Acc@1 18.050 Acc@5 69.314
sparsity 0 ====> 74.07% || num_zero/num_total: 633904/855770
valid 0 ====> Acc@1 17.480 Acc@5 69.130
train 1 ====> Acc@1 24.552 Acc@5 81.160
sparsity 1 ====> 71.97% || num_zero/num_total: 615888/855770
valid 1 ====> Acc@1 22.080 Acc@5 75.160
train 2 ====> Acc@1 28.442 Acc@5 83.790
sparsity 2 ====> 70.93% || num_zero/num_total: 606966/855770
valid 2 ====> Acc@1 31.580 Acc@5 84.180
train 3 ====> Acc@1 30.116 Acc@5 85.116
sparsity 3 ====> 70.76% || num_zero/num_total: 605517/855770
valid 3 ====> Acc@1 29.150 Acc@5 86.110
train 4 ====> Acc@1 34.542 Acc@5 87.602
sparsity 4 ====> 70.82% || num_zero/num_total: 606093/855770
valid 4 ====> Acc@1 36.910 Acc@5 88.420
train 5 ====> Acc@1 37.762 Acc@5 88.808
sparsity 5 ====> 70.79% || num_zero/num_total: 605805/855770
valid 5 ====> Acc@1 36.830 Acc@5 85.030
train 6 ====> Acc@1 40.068 Acc@5 89.520
sparsity 6 ====> 70.79% || num_zero/num_total: 605805/855770
valid 6 ====> Acc@1 44.680 Acc@5 91.080
train 7 ====> Acc@1 42.772 Acc@5 90.222
sparsity 7 ====> 70.79% || num_zero/num_total: 605805/855770
valid 7 ====> Acc@1 43.970 Acc@5 90.490
train 8 ====> Acc@1 44.004 Acc@5 90.872
sparsity 8 ====> 70.79% || num_zero/num_total: 605805/855770
valid 8 ====> Acc@1 44.290 Acc@5 89.550
train 9 ====> Acc@1 45.376 Acc@5 91.604
sparsity 9 ====> 70.79% || num_zero/num_total: 605805/855770
valid 9 ====> Acc@1 47.070 Acc@5 92.490
train 10 ====> Acc@1 46.338 Acc@5 91.710
sparsity 10 ====> 70.79% || num_zero/num_total: 605805/855770
valid 10 ====> Acc@1 44.020 Acc@5 90.280
train 11 ====> Acc@1 47.394 Acc@5 91.862
sparsity 11 ====> 70.79% || num_zero/num_total: 605805/855770
valid 11 ====> Acc@1 42.380 Acc@5 91.390
train 12 ====> Acc@1 47.880 Acc@5 92.200
sparsity 12 ====> 70.79% || num_zero/num_total: 605805/855770
valid 12 ====> Acc@1 38.150 Acc@5 85.690
train 13 ====> Acc@1 48.636 Acc@5 92.332
sparsity 13 ====> 70.79% || num_zero/num_total: 605805/855770
valid 13 ====> Acc@1 44.540 Acc@5 90.310
train 14 ====> Acc@1 49.000 Acc@5 92.428
sparsity 14 ====> 70.79% || num_zero/num_total: 605805/855770
valid 14 ====> Acc@1 46.080 Acc@5 91.720
train 15 ====> Acc@1 49.006 Acc@5 92.752
sparsity 15 ====> 70.79% || num_zero/num_total: 605805/855770
valid 15 ====> Acc@1 45.550 Acc@5 93.130
train 16 ====> Acc@1 50.096 Acc@5 92.916
sparsity 16 ====> 70.79% || num_zero/num_total: 605805/855770
valid 16 ====> Acc@1 47.450 Acc@5 91.110
train 17 ====> Acc@1 49.886 Acc@5 92.948
sparsity 17 ====> 70.79% || num_zero/num_total: 605805/855770
valid 17 ====> Acc@1 49.460 Acc@5 92.700
train 18 ====> Acc@1 45.544 Acc@5 91.086
sparsity 18 ====> 69.99% || num_zero/num_total: 598974/855770
valid 18 ====> Acc@1 42.910 Acc@5 91.490
train 19 ====> Acc@1 47.044 Acc@5 91.710
sparsity 19 ====> 70.09% || num_zero/num_total: 599838/855770
valid 19 ====> Acc@1 44.650 Acc@5 90.580
train 20 ====> Acc@1 47.594 Acc@5 91.978
sparsity 20 ====> 70.13% || num_zero/num_total: 600126/855770
valid 20 ====> Acc@1 47.250 Acc@5 92.420
train 21 ====> Acc@1 48.244 Acc@5 92.316
sparsity 21 ====> 70.13% || num_zero/num_total: 600126/855770
valid 21 ====> Acc@1 40.980 Acc@5 91.250
train 22 ====> Acc@1 49.370 Acc@5 92.794
sparsity 22 ====> 70.19% || num_zero/num_total: 600702/855770
valid 22 ====> Acc@1 47.120 Acc@5 90.950
train 23 ====> Acc@1 49.814 Acc@5 92.954
sparsity 23 ====> 70.23% || num_zero/num_total: 600990/855770
valid 23 ====> Acc@1 48.310 Acc@5 92.940
train 24 ====> Acc@1 50.634 Acc@5 93.044
sparsity 24 ====> 70.23% || num_zero/num_total: 600990/855770
valid 24 ====> Acc@1 47.630 Acc@5 93.200
train 25 ====> Acc@1 50.870 Acc@5 93.208
sparsity 25 ====> 70.21% || num_zero/num_total: 600846/855770
valid 25 ====> Acc@1 49.460 Acc@5 93.060
train 26 ====> Acc@1 51.578 Acc@5 93.548
sparsity 26 ====> 70.23% || num_zero/num_total: 600990/855770
valid 26 ====> Acc@1 50.240 Acc@5 93.290
train 27 ====> Acc@1 52.088 Acc@5 93.752
sparsity 27 ====> 70.23% || num_zero/num_total: 600990/855770
valid 27 ====> Acc@1 40.570 Acc@5 88.880
train 28 ====> Acc@1 51.510 Acc@5 93.638
sparsity 28 ====> 70.26% || num_zero/num_total: 601278/855770
valid 28 ====> Acc@1 48.500 Acc@5 93.160
train 29 ====> Acc@1 51.930 Acc@5 93.426
sparsity 29 ====> 70.23% || num_zero/num_total: 600990/855770
valid 29 ====> Acc@1 45.530 Acc@5 91.660
train 30 ====> Acc@1 52.398 Acc@5 93.602
sparsity 30 ====> 70.30% || num_zero/num_total: 601566/855770
valid 30 ====> Acc@1 48.340 Acc@5 93.620
train 31 ====> Acc@1 52.518 Acc@5 93.936
sparsity 31 ====> 70.30% || num_zero/num_total: 601566/855770
valid 31 ====> Acc@1 46.550 Acc@5 90.970
train 32 ====> Acc@1 53.516 Acc@5 94.000
sparsity 32 ====> 70.30% || num_zero/num_total: 601566/855770
