Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 1.0
train 36 ====> Acc@1 50.746 Acc@5 93.626
sparsity 36 ====> 52.42% || num_zero/num_total: 448578/855770
valid 36 ====> Acc@1 38.240 Acc@5 84.130
train 37 ====> Acc@1 51.198 Acc@5 93.608
sparsity 37 ====> 52.35% || num_zero/num_total: 448002/855770
valid 37 ====> Acc@1 42.520 Acc@5 89.590
train 38 ====> Acc@1 51.376 Acc@5 93.640
sparsity 38 ====> 52.38% || num_zero/num_total: 448290/855770
valid 38 ====> Acc@1 32.450 Acc@5 85.240
train 39 ====> Acc@1 51.600 Acc@5 93.716
sparsity 39 ====> 52.33% || num_zero/num_total: 447858/855770
valid 39 ====> Acc@1 38.850 Acc@5 89.070
train 40 ====> Acc@1 52.066 Acc@5 93.968
sparsity 40 ====> 52.30% || num_zero/num_total: 447570/855770
valid 40 ====> Acc@1 51.430 Acc@5 93.760
train 41 ====> Acc@1 52.642 Acc@5 94.122
sparsity 41 ====> 52.25% || num_zero/num_total: 447138/855770
valid 41 ====> Acc@1 46.970 Acc@5 92.150
train 42 ====> Acc@1 52.410 Acc@5 94.186
sparsity 42 ====> 52.27% || num_zero/num_total: 447282/855770
valid 42 ====> Acc@1 50.220 Acc@5 92.950
train 43 ====> Acc@1 52.990 Acc@5 94.144
sparsity 43 ====> 52.27% || num_zero/num_total: 447282/855770
valid 43 ====> Acc@1 48.980 Acc@5 92.220
train 44 ====> Acc@1 53.276 Acc@5 94.264
sparsity 44 ====> 52.22% || num_zero/num_total: 446850/855770
valid 44 ====> Acc@1 48.390 Acc@5 93.130
train 45 ====> Acc@1 53.334 Acc@5 94.150
sparsity 45 ====> 52.27% || num_zero/num_total: 447282/855770
valid 45 ====> Acc@1 25.420 Acc@5 69.750
train 46 ====> Acc@1 53.902 Acc@5 94.352
sparsity 46 ====> 52.23% || num_zero/num_total: 446994/855770
valid 46 ====> Acc@1 51.360 Acc@5 93.210
train 47 ====> Acc@1 53.670 Acc@5 94.598
sparsity 47 ====> 52.28% || num_zero/num_total: 447426/855770
valid 47 ====> Acc@1 48.360 Acc@5 94.030
train 48 ====> Acc@1 54.182 Acc@5 94.356
sparsity 48 ====> 52.23% || num_zero/num_total: 446994/855770
valid 48 ====> Acc@1 52.510 Acc@5 94.060
train 49 ====> Acc@1 54.288 Acc@5 94.454
sparsity 49 ====> 52.28% || num_zero/num_total: 447426/855770
valid 49 ====> Acc@1 46.580 Acc@5 90.770
train 50 ====> Acc@1 54.038 Acc@5 94.532
sparsity 50 ====> 52.28% || num_zero/num_total: 447426/855770
valid 50 ====> Acc@1 53.110 Acc@5 94.250
train 51 ====> Acc@1 54.310 Acc@5 94.578
sparsity 51 ====> 52.28% || num_zero/num_total: 447426/855770
valid 51 ====> Acc@1 49.190 Acc@5 93.360
train 52 ====> Acc@1 54.672 Acc@5 94.710
sparsity 52 ====> 52.28% || num_zero/num_total: 447426/855770
valid 52 ====> Acc@1 41.850 Acc@5 91.320
train 53 ====> Acc@1 54.884 Acc@5 94.552
sparsity 53 ====> 52.28% || num_zero/num_total: 447426/855770
valid 53 ====> Acc@1 50.950 Acc@5 92.650
train 54 ====> Acc@1 55.250 Acc@5 94.734
sparsity 54 ====> 52.28% || num_zero/num_total: 447426/855770
valid 54 ====> Acc@1 40.660 Acc@5 89.040
train 55 ====> Acc@1 55.522 Acc@5 94.816
sparsity 55 ====> 52.28% || num_zero/num_total: 447426/855770
valid 55 ====> Acc@1 53.000 Acc@5 94.020
train 56 ====> Acc@1 55.690 Acc@5 94.930
sparsity 56 ====> 52.25% || num_zero/num_total: 447138/855770
valid 56 ====> Acc@1 49.890 Acc@5 91.870
train 57 ====> Acc@1 56.074 Acc@5 95.062
sparsity 57 ====> 52.25% || num_zero/num_total: 447138/855770
valid 57 ====> Acc@1 50.990 Acc@5 92.240
train 58 ====> Acc@1 56.172 Acc@5 94.984
sparsity 58 ====> 52.28% || num_zero/num_total: 447426/855770
valid 58 ====> Acc@1 53.160 Acc@5 94.440
train 59 ====> Acc@1 56.048 Acc@5 95.034
sparsity 59 ====> 52.28% || num_zero/num_total: 447426/855770
valid 59 ====> Acc@1 50.340 Acc@5 91.780
train 60 ====> Acc@1 56.348 Acc@5 94.940
sparsity 60 ====> 52.28% || num_zero/num_total: 447426/855770
valid 60 ====> Acc@1 51.890 Acc@5 93.000
train 61 ====> Acc@1 56.716 Acc@5 95.114
sparsity 61 ====> 52.25% || num_zero/num_total: 447138/855770
valid 61 ====> Acc@1 51.810 Acc@5 93.570
train 62 ====> Acc@1 57.350 Acc@5 95.222
sparsity 62 ====> 52.28% || num_zero/num_total: 447426/855770
valid 62 ====> Acc@1 49.010 Acc@5 93.760
train 63 ====> Acc@1 56.982 Acc@5 95.098
sparsity 63 ====> 52.28% || num_zero/num_total: 447426/855770
valid 63 ====> Acc@1 53.510 Acc@5 94.460
train 64 ====> Acc@1 57.328 Acc@5 95.262
sparsity 64 ====> 52.25% || num_zero/num_total: 447138/855770
valid 64 ====> Acc@1 55.740 Acc@5 94.260
train 65 ====> Acc@1 57.592 Acc@5 95.434
sparsity 65 ====> 52.18% || num_zero/num_total: 446562/855770
valid 65 ====> Acc@1 50.740 Acc@5 93.280
train 66 ====> Acc@1 57.320 Acc@5 95.358
sparsity 66 ====> 52.25% || num_zero/num_total: 447138/855770
valid 66 ====> Acc@1 55.430 Acc@5 94.180
train 67 ====> Acc@1 58.140 Acc@5 95.572
sparsity 67 ====> 52.22% || num_zero/num_total: 446850/855770
valid 67 ====> Acc@1 49.220 Acc@5 93.820
train 68 ====> Acc@1 58.400 Acc@5 95.496
sparsity 68 ====> 52.22% || num_zero/num_total: 446850/855770
valid 68 ====> Acc@1 50.920 Acc@5 94.840
train 69 ====> Acc@1 58.428 Acc@5 95.552
sparsity 69 ====> 52.22% || num_zero/num_total: 446850/855770
valid 69 ====> Acc@1 56.940 Acc@5 95.300
train 70 ====> Acc@1 58.556 Acc@5 95.750
sparsity 70 ====> 52.25% || num_zero/num_total: 447138/855770
valid 70 ====> Acc@1 49.660 Acc@5 94.130
train 71 ====> Acc@1 58.934 Acc@5 95.670
sparsity 71 ====> 52.25% || num_zero/num_total: 447138/855770
valid 71 ====> Acc@1 54.740 Acc@5 94.360
train 72 ====> Acc@1 59.428 Acc@5 95.860
sparsity 72 ====> 52.22% || num_zero/num_total: 446850/855770
valid 72 ====> Acc@1 52.270 Acc@5 93.850
train 73 ====> Acc@1 59.336 Acc@5 95.642
sparsity 73 ====> 52.25% || num_zero/num_total: 447138/855770
valid 73 ====> Acc@1 52.430 Acc@5 92.560
train 74 ====> Acc@1 60.036 Acc@5 95.888
sparsity 74 ====> 52.18% || num_zero/num_total: 446562/855770
valid 74 ====> Acc@1 52.490 Acc@5 93.930
train 75 ====> Acc@1 59.698 Acc@5 95.876
sparsity 75 ====> 52.18% || num_zero/num_total: 446562/855770
valid 75 ====> Acc@1 58.230 Acc@5 95.450
train 76 ====> Acc@1 59.944 Acc@5 95.842
sparsity 76 ====> 52.22% || num_zero/num_total: 446850/855770
valid 76 ====> Acc@1 52.160 Acc@5 91.330
train 77 ====> Acc@1 60.696 Acc@5 96.138
sparsity 77 ====> 52.18% || num_zero/num_total: 446562/855770
valid 77 ====> Acc@1 56.020 Acc@5 94.580
train 78 ====> Acc@1 60.742 Acc@5 95.934
sparsity 78 ====> 52.22% || num_zero/num_total: 446850/855770
valid 78 ====> Acc@1 53.340 Acc@5 95.010
train 79 ====> Acc@1 61.258 Acc@5 96.130
sparsity 79 ====> 52.22% || num_zero/num_total: 446850/855770
valid 79 ====> Acc@1 59.310 Acc@5 95.830
train 80 ====> Acc@1 61.762 Acc@5 96.270
sparsity 80 ====> 52.18% || num_zero/num_total: 446562/855770
valid 80 ====> Acc@1 58.280 Acc@5 95.230
train 81 ====> Acc@1 61.488 Acc@5 96.138
sparsity 81 ====> 52.18% || num_zero/num_total: 446562/855770
valid 81 ====> Acc@1 58.010 Acc@5 94.180
train 82 ====> Acc@1 62.102 Acc@5 96.284
sparsity 82 ====> 52.18% || num_zero/num_total: 446562/855770
valid 82 ====> Acc@1 55.500 Acc@5 94.320
train 83 ====> Acc@1 62.018 Acc@5 96.288
sparsity 83 ====> 52.18% || num_zero/num_total: 446562/855770
valid 83 ====> Acc@1 53.050 Acc@5 94.690
train 84 ====> Acc@1 62.318 Acc@5 96.374
sparsity 84 ====> 52.18% || num_zero/num_total: 446562/855770
valid 84 ====> Acc@1 59.110 Acc@5 95.910
train 85 ====> Acc@1 62.716 Acc@5 96.504
sparsity 85 ====> 52.18% || num_zero/num_total: 446562/855770
valid 85 ====> Acc@1 58.120 Acc@5 95.490
train 86 ====> Acc@1 62.884 Acc@5 96.500
sparsity 86 ====> 52.18% || num_zero/num_total: 446562/855770
valid 86 ====> Acc@1 61.850 Acc@5 95.910
train 87 ====> Acc@1 63.222 Acc@5 96.490
sparsity 87 ====> 52.15% || num_zero/num_total: 446274/855770
valid 87 ====> Acc@1 62.120 Acc@5 95.850
train 88 ====> Acc@1 63.558 Acc@5 96.570
sparsity 88 ====> 52.15% || num_zero/num_total: 446274/855770
valid 88 ====> Acc@1 62.870 Acc@5 96.270
train 89 ====> Acc@1 63.868 Acc@5 96.758
sparsity 89 ====> 52.15% || num_zero/num_total: 446274/855770
valid 89 ====> Acc@1 62.290 Acc@5 96.220
train 90 ====> Acc@1 64.160 Acc@5 96.784
sparsity 90 ====> 52.15% || num_zero/num_total: 446274/855770
valid 90 ====> Acc@1 61.540 Acc@5 96.180
train 91 ====> Acc@1 64.546 Acc@5 96.684
sparsity 91 ====> 52.12% || num_zero/num_total: 445986/855770
valid 91 ====> Acc@1 60.140 Acc@5 95.810
train 92 ====> Acc@1 64.596 Acc@5 96.858
sparsity 92 ====> 52.15% || num_zero/num_total: 446274/855770
valid 92 ====> Acc@1 59.850 Acc@5 96.470
train 93 ====> Acc@1 65.364 Acc@5 96.934
sparsity 93 ====> 52.15% || num_zero/num_total: 446274/855770
valid 93 ====> Acc@1 59.630 Acc@5 95.790
train 94 ====> Acc@1 65.192 Acc@5 96.894
sparsity 94 ====> 52.15% || num_zero/num_total: 446274/855770
valid 94 ====> Acc@1 63.120 Acc@5 96.160
train 95 ====> Acc@1 65.628 Acc@5 97.056
sparsity 95 ====> 52.15% || num_zero/num_total: 446274/855770
valid 95 ====> Acc@1 62.880 Acc@5 96.740
train 96 ====> Acc@1 66.550 Acc@5 97.088
sparsity 96 ====> 52.15% || num_zero/num_total: 446274/855770
valid 96 ====> Acc@1 59.400 Acc@5 95.570
train 97 ====> Acc@1 66.546 Acc@5 97.116
sparsity 97 ====> 52.15% || num_zero/num_total: 446274/855770
valid 97 ====> Acc@1 61.780 Acc@5 95.890
train 98 ====> Acc@1 67.272 Acc@5 97.306
sparsity 98 ====> 52.15% || num_zero/num_total: 446274/855770
valid 98 ====> Acc@1 60.470 Acc@5 96.520
train 99 ====> Acc@1 67.646 Acc@5 97.402
sparsity 99 ====> 52.15% || num_zero/num_total: 446274/855770
valid 99 ====> Acc@1 64.980 Acc@5 96.680
train 100 ====> Acc@1 68.440 Acc@5 97.504
sparsity 100 ====> 52.15% || num_zero/num_total: 446274/855770
valid 100 ====> Acc@1 64.670 Acc@5 96.860
train 101 ====> Acc@1 68.802 Acc@5 97.614
sparsity 101 ====> 52.15% || num_zero/num_total: 446274/855770
valid 101 ====> Acc@1 67.800 Acc@5 97.440
train 102 ====> Acc@1 69.508 Acc@5 97.634
sparsity 102 ====> 52.15% || num_zero/num_total: 446274/855770
valid 102 ====> Acc@1 66.720 Acc@5 96.970
train 103 ====> Acc@1 69.350 Acc@5 97.636
sparsity 103 ====> 52.10% || num_zero/num_total: 445842/855770
valid 103 ====> Acc@1 66.800 Acc@5 96.740
train 104 ====> Acc@1 70.044 Acc@5 97.720
sparsity 104 ====> 52.15% || num_zero/num_total: 446274/855770
valid 104 ====> Acc@1 62.530 Acc@5 96.020
train 105 ====> Acc@1 70.362 Acc@5 97.808
sparsity 105 ====> 52.15% || num_zero/num_total: 446274/855770
valid 105 ====> Acc@1 65.030 Acc@5 96.150
train 106 ====> Acc@1 70.684 Acc@5 97.908
