Files already downloaded and verified
Files already downloaded and verified
prune rate 0.9 regularization odecay 0.5
train 0 ====> Acc@1 19.830 Acc@5 70.180
valid 0 ====> Acc@1 31.650 Acc@5 83.700
train 1 ====> Acc@1 35.912 Acc@5 87.972
valid 1 ====> Acc@1 40.780 Acc@5 90.050
train 2 ====> Acc@1 48.016 Acc@5 92.598
valid 2 ====> Acc@1 50.900 Acc@5 93.300
train 3 ====> Acc@1 58.662 Acc@5 95.572
valid 3 ====> Acc@1 56.210 Acc@5 95.550
train 4 ====> Acc@1 66.496 Acc@5 97.142
valid 4 ====> Acc@1 65.380 Acc@5 97.400
train 5 ====> Acc@1 71.690 Acc@5 98.006
valid 5 ====> Acc@1 68.450 Acc@5 98.100
train 6 ====> Acc@1 75.896 Acc@5 98.466
valid 6 ====> Acc@1 66.240 Acc@5 95.980
train 7 ====> Acc@1 78.838 Acc@5 98.872
valid 7 ====> Acc@1 76.430 Acc@5 98.620
train 8 ====> Acc@1 80.696 Acc@5 98.982
valid 8 ====> Acc@1 77.700 Acc@5 98.620
train 9 ====> Acc@1 82.436 Acc@5 99.170
valid 9 ====> Acc@1 75.330 Acc@5 98.200
train 10 ====> Acc@1 83.398 Acc@5 99.254
valid 10 ====> Acc@1 78.950 Acc@5 99.100
train 11 ====> Acc@1 84.366 Acc@5 99.416
valid 11 ====> Acc@1 75.790 Acc@5 98.990
train 12 ====> Acc@1 85.330 Acc@5 99.462
valid 12 ====> Acc@1 81.050 Acc@5 99.060
train 13 ====> Acc@1 86.364 Acc@5 99.574
valid 13 ====> Acc@1 77.110 Acc@5 98.910
train 14 ====> Acc@1 86.982 Acc@5 99.538
valid 14 ====> Acc@1 79.310 Acc@5 98.890
train 15 ====> Acc@1 87.642 Acc@5 99.610
valid 15 ====> Acc@1 79.790 Acc@5 98.870
train 16 ====> Acc@1 87.960 Acc@5 99.646
valid 16 ====> Acc@1 79.090 Acc@5 98.800
train 17 ====> Acc@1 88.786 Acc@5 99.704
valid 17 ====> Acc@1 81.380 Acc@5 99.090
train 18 ====> Acc@1 89.362 Acc@5 99.726
valid 18 ====> Acc@1 78.380 Acc@5 98.730
train 19 ====> Acc@1 89.672 Acc@5 99.726
valid 19 ====> Acc@1 81.320 Acc@5 99.060
train 20 ====> Acc@1 90.104 Acc@5 99.766
valid 20 ====> Acc@1 78.160 Acc@5 98.770
train 21 ====> Acc@1 90.462 Acc@5 99.816
valid 21 ====> Acc@1 79.760 Acc@5 98.900
train 22 ====> Acc@1 90.478 Acc@5 99.764
valid 22 ====> Acc@1 81.450 Acc@5 98.710
train 23 ====> Acc@1 90.826 Acc@5 99.840
valid 23 ====> Acc@1 83.940 Acc@5 99.300
train 24 ====> Acc@1 91.388 Acc@5 99.854
valid 24 ====> Acc@1 80.230 Acc@5 98.790
train 25 ====> Acc@1 91.682 Acc@5 99.848
valid 25 ====> Acc@1 83.350 Acc@5 99.240
train 26 ====> Acc@1 92.026 Acc@5 99.866
valid 26 ====> Acc@1 79.100 Acc@5 98.170
train 27 ====> Acc@1 91.684 Acc@5 99.850
valid 27 ====> Acc@1 83.280 Acc@5 99.170
train 28 ====> Acc@1 92.276 Acc@5 99.858
valid 28 ====> Acc@1 83.370 Acc@5 99.070
train 29 ====> Acc@1 92.512 Acc@5 99.884
valid 29 ====> Acc@1 84.470 Acc@5 99.140
train 30 ====> Acc@1 92.540 Acc@5 99.900
valid 30 ====> Acc@1 82.900 Acc@5 99.260
train 31 ====> Acc@1 92.808 Acc@5 99.898
valid 31 ====> Acc@1 80.310 Acc@5 98.990
train 32 ====> Acc@1 93.090 Acc@5 99.898
valid 32 ====> Acc@1 79.350 Acc@5 98.330
train 33 ====> Acc@1 92.902 Acc@5 99.940
valid 33 ====> Acc@1 82.820 Acc@5 99.330
train 34 ====> Acc@1 93.206 Acc@5 99.918
valid 34 ====> Acc@1 84.480 Acc@5 99.220
train 35 ====> Acc@1 93.424 Acc@5 99.924
valid 35 ====> Acc@1 83.770 Acc@5 98.930
train 36 ====> Acc@1 93.530 Acc@5 99.916
valid 36 ====> Acc@1 80.460 Acc@5 99.010
train 37 ====> Acc@1 94.026 Acc@5 99.946
valid 37 ====> Acc@1 85.010 Acc@5 99.380
train 38 ====> Acc@1 93.976 Acc@5 99.956
valid 38 ====> Acc@1 82.240 Acc@5 99.030
train 39 ====> Acc@1 93.834 Acc@5 99.934
valid 39 ====> Acc@1 84.550 Acc@5 99.100
train 40 ====> Acc@1 93.884 Acc@5 99.930
valid 40 ====> Acc@1 84.230 Acc@5 99.060
train 41 ====> Acc@1 94.360 Acc@5 99.950
valid 41 ====> Acc@1 84.200 Acc@5 99.210
train 42 ====> Acc@1 93.972 Acc@5 99.932
valid 42 ====> Acc@1 84.900 Acc@5 99.330
train 43 ====> Acc@1 94.346 Acc@5 99.946
valid 43 ====> Acc@1 83.980 Acc@5 98.900
train 44 ====> Acc@1 94.602 Acc@5 99.958
valid 44 ====> Acc@1 86.360 Acc@5 99.150
train 45 ====> Acc@1 94.512 Acc@5 99.946
valid 45 ====> Acc@1 84.810 Acc@5 99.330
train 46 ====> Acc@1 94.442 Acc@5 99.942
valid 46 ====> Acc@1 80.050 Acc@5 99.010
train 47 ====> Acc@1 94.850 Acc@5 99.958
valid 47 ====> Acc@1 81.610 Acc@5 99.300
train 48 ====> Acc@1 94.286 Acc@5 99.950
valid 48 ====> Acc@1 83.790 Acc@5 99.250
train 49 ====> Acc@1 94.732 Acc@5 99.964
valid 49 ====> Acc@1 83.050 Acc@5 99.050
train 50 ====> Acc@1 94.776 Acc@5 99.944
valid 50 ====> Acc@1 86.340 Acc@5 99.530
train 51 ====> Acc@1 94.706 Acc@5 99.964
valid 51 ====> Acc@1 80.770 Acc@5 99.000
train 52 ====> Acc@1 94.600 Acc@5 99.960
valid 52 ====> Acc@1 85.530 Acc@5 99.330
train 53 ====> Acc@1 95.338 Acc@5 99.976
valid 53 ====> Acc@1 84.810 Acc@5 99.320
train 54 ====> Acc@1 95.018 Acc@5 99.956
valid 54 ====> Acc@1 83.230 Acc@5 99.210
train 55 ====> Acc@1 94.898 Acc@5 99.956
valid 55 ====> Acc@1 86.170 Acc@5 99.340
train 56 ====> Acc@1 95.280 Acc@5 99.962
valid 56 ====> Acc@1 83.970 Acc@5 99.310
train 57 ====> Acc@1 95.158 Acc@5 99.970
valid 57 ====> Acc@1 86.100 Acc@5 99.350
train 58 ====> Acc@1 95.082 Acc@5 99.952
valid 58 ====> Acc@1 84.460 Acc@5 99.260
train 59 ====> Acc@1 95.250 Acc@5 99.946
valid 59 ====> Acc@1 84.550 Acc@5 99.100
train 60 ====> Acc@1 95.152 Acc@5 99.968
valid 60 ====> Acc@1 85.370 Acc@5 99.400
train 61 ====> Acc@1 95.526 Acc@5 99.962
valid 61 ====> Acc@1 86.260 Acc@5 99.320
train 62 ====> Acc@1 95.388 Acc@5 99.972
valid 62 ====> Acc@1 80.420 Acc@5 98.980
train 63 ====> Acc@1 95.162 Acc@5 99.980
valid 63 ====> Acc@1 84.660 Acc@5 99.370
train 64 ====> Acc@1 95.562 Acc@5 99.978
valid 64 ====> Acc@1 85.770 Acc@5 99.220
train 65 ====> Acc@1 95.608 Acc@5 99.966
valid 65 ====> Acc@1 87.280 Acc@5 99.480
train 66 ====> Acc@1 95.448 Acc@5 99.972
valid 66 ====> Acc@1 84.750 Acc@5 99.470
train 67 ====> Acc@1 95.232 Acc@5 99.972
valid 67 ====> Acc@1 85.350 Acc@5 99.390
train 68 ====> Acc@1 95.426 Acc@5 99.974
valid 68 ====> Acc@1 80.850 Acc@5 98.280
train 69 ====> Acc@1 95.326 Acc@5 99.966
valid 69 ====> Acc@1 85.330 Acc@5 99.100
train 70 ====> Acc@1 95.664 Acc@5 99.978
valid 70 ====> Acc@1 85.760 Acc@5 99.560
train 71 ====> Acc@1 95.556 Acc@5 99.970
valid 71 ====> Acc@1 82.860 Acc@5 99.130
train 72 ====> Acc@1 95.516 Acc@5 99.970
valid 72 ====> Acc@1 86.330 Acc@5 99.390
train 73 ====> Acc@1 95.818 Acc@5 99.980
valid 73 ====> Acc@1 85.410 Acc@5 99.350
train 74 ====> Acc@1 95.718 Acc@5 99.968
valid 74 ====> Acc@1 85.710 Acc@5 99.410
train 75 ====> Acc@1 95.810 Acc@5 99.978
valid 75 ====> Acc@1 84.840 Acc@5 99.270
train 76 ====> Acc@1 95.506 Acc@5 99.974
valid 76 ====> Acc@1 85.570 Acc@5 99.290
train 77 ====> Acc@1 95.762 Acc@5 99.976
valid 77 ====> Acc@1 86.590 Acc@5 99.450
train 78 ====> Acc@1 95.860 Acc@5 99.980
valid 78 ====> Acc@1 85.890 Acc@5 99.310
train 79 ====> Acc@1 95.718 Acc@5 99.978
valid 79 ====> Acc@1 85.320 Acc@5 99.390
train 80 ====> Acc@1 95.606 Acc@5 99.986
valid 80 ====> Acc@1 84.950 Acc@5 99.280
train 81 ====> Acc@1 95.876 Acc@5 99.974
valid 81 ====> Acc@1 84.160 Acc@5 99.280
train 82 ====> Acc@1 95.842 Acc@5 99.970
valid 82 ====> Acc@1 82.590 Acc@5 99.070
train 83 ====> Acc@1 95.522 Acc@5 99.964
valid 83 ====> Acc@1 84.810 Acc@5 99.360
train 84 ====> Acc@1 95.432 Acc@5 99.978
valid 84 ====> Acc@1 81.940 Acc@5 99.120
train 85 ====> Acc@1 96.010 Acc@5 99.984
valid 85 ====> Acc@1 83.970 Acc@5 99.280
train 86 ====> Acc@1 95.686 Acc@5 99.978
valid 86 ====> Acc@1 85.910 Acc@5 99.280
train 87 ====> Acc@1 96.046 Acc@5 99.984
valid 87 ====> Acc@1 85.760 Acc@5 99.380
train 88 ====> Acc@1 95.974 Acc@5 99.980
valid 88 ====> Acc@1 86.920 Acc@5 99.380
train 89 ====> Acc@1 95.904 Acc@5 99.976
valid 89 ====> Acc@1 78.700 Acc@5 97.990
train 90 ====> Acc@1 95.824 Acc@5 99.994
valid 90 ====> Acc@1 85.150 Acc@5 99.210
train 91 ====> Acc@1 96.276 Acc@5 99.986
valid 91 ====> Acc@1 85.030 Acc@5 99.200
train 92 ====> Acc@1 95.706 Acc@5 99.974
valid 92 ====> Acc@1 83.950 Acc@5 99.240
train 93 ====> Acc@1 96.010 Acc@5 99.984
valid 93 ====> Acc@1 83.330 Acc@5 99.340
train 94 ====> Acc@1 95.752 Acc@5 99.984
valid 94 ====> Acc@1 85.750 Acc@5 99.350
train 95 ====> Acc@1 96.300 Acc@5 99.986
valid 95 ====> Acc@1 83.970 Acc@5 99.370
train 96 ====> Acc@1 95.970 Acc@5 99.974
valid 96 ====> Acc@1 85.730 Acc@5 99.330
train 97 ====> Acc@1 95.480 Acc@5 99.972
valid 97 ====> Acc@1 84.620 Acc@5 99.240
train 98 ====> Acc@1 96.100 Acc@5 99.984
valid 98 ====> Acc@1 84.500 Acc@5 99.190
train 99 ====> Acc@1 95.898 Acc@5 99.972
valid 99 ====> Acc@1 84.830 Acc@5 99.310
train 100 ====> Acc@1 95.882 Acc@5 99.984
valid 100 ====> Acc@1 85.590 Acc@5 99.420
train 101 ====> Acc@1 95.892 Acc@5 99.984
valid 101 ====> Acc@1 84.410 Acc@5 99.260
train 102 ====> Acc@1 96.198 Acc@5 99.974
valid 102 ====> Acc@1 85.590 Acc@5 99.190
train 103 ====> Acc@1 96.226 Acc@5 99.982
valid 103 ====> Acc@1 86.300 Acc@5 99.350
train 104 ====> Acc@1 95.870 Acc@5 99.982
valid 104 ====> Acc@1 85.390 Acc@5 99.340
train 105 ====> Acc@1 96.032 Acc@5 99.972
valid 105 ====> Acc@1 84.690 Acc@5 99.120
train 106 ====> Acc@1 96.158 Acc@5 99.984
valid 106 ====> Acc@1 86.540 Acc@5 99.380
train 107 ====> Acc@1 96.202 Acc@5 99.978
valid 107 ====> Acc@1 82.970 Acc@5 98.580
train 108 ====> Acc@1 95.676 Acc@5 99.968
