Files already downloaded and verified
Files already downloaded and verified
prune rate 0.9 regularization odecay 0.8
train 0 ====> Acc@1 14.846 Acc@5 65.688
valid 0 ====> Acc@1 19.830 Acc@5 80.300
train 1 ====> Acc@1 29.878 Acc@5 85.890
valid 1 ====> Acc@1 33.950 Acc@5 87.860
train 2 ====> Acc@1 42.236 Acc@5 91.176
valid 2 ====> Acc@1 48.640 Acc@5 94.210
train 3 ====> Acc@1 54.108 Acc@5 94.674
valid 3 ====> Acc@1 53.980 Acc@5 94.630
train 4 ====> Acc@1 63.226 Acc@5 96.584
valid 4 ====> Acc@1 64.390 Acc@5 96.910
train 5 ====> Acc@1 69.084 Acc@5 97.550
valid 5 ====> Acc@1 64.860 Acc@5 95.740
train 6 ====> Acc@1 73.362 Acc@5 98.162
valid 6 ====> Acc@1 68.030 Acc@5 96.940
train 7 ====> Acc@1 76.536 Acc@5 98.678
valid 7 ====> Acc@1 70.010 Acc@5 97.610
train 8 ====> Acc@1 78.580 Acc@5 98.762
valid 8 ====> Acc@1 68.310 Acc@5 96.040
train 9 ====> Acc@1 80.640 Acc@5 99.028
valid 9 ====> Acc@1 71.250 Acc@5 97.550
train 10 ====> Acc@1 81.750 Acc@5 99.174
valid 10 ====> Acc@1 78.080 Acc@5 98.800
train 11 ====> Acc@1 83.326 Acc@5 99.262
valid 11 ====> Acc@1 77.300 Acc@5 99.010
train 12 ====> Acc@1 84.286 Acc@5 99.352
valid 12 ====> Acc@1 77.980 Acc@5 98.770
train 13 ====> Acc@1 84.966 Acc@5 99.468
valid 13 ====> Acc@1 78.510 Acc@5 98.680
train 14 ====> Acc@1 86.168 Acc@5 99.510
valid 14 ====> Acc@1 79.410 Acc@5 98.950
train 15 ====> Acc@1 86.564 Acc@5 99.524
valid 15 ====> Acc@1 78.890 Acc@5 98.980
train 16 ====> Acc@1 87.290 Acc@5 99.566
valid 16 ====> Acc@1 74.230 Acc@5 97.450
train 17 ====> Acc@1 87.720 Acc@5 99.604
valid 17 ====> Acc@1 78.750 Acc@5 98.810
train 18 ====> Acc@1 88.338 Acc@5 99.674
valid 18 ====> Acc@1 81.070 Acc@5 98.920
train 19 ====> Acc@1 88.774 Acc@5 99.638
valid 19 ====> Acc@1 76.520 Acc@5 98.270
train 20 ====> Acc@1 89.484 Acc@5 99.710
valid 20 ====> Acc@1 82.120 Acc@5 98.920
train 21 ====> Acc@1 89.600 Acc@5 99.742
valid 21 ====> Acc@1 80.270 Acc@5 98.810
train 22 ====> Acc@1 90.142 Acc@5 99.730
valid 22 ====> Acc@1 81.540 Acc@5 98.610
train 23 ====> Acc@1 90.432 Acc@5 99.798
valid 23 ====> Acc@1 80.210 Acc@5 98.830
train 24 ====> Acc@1 91.000 Acc@5 99.822
valid 24 ====> Acc@1 83.380 Acc@5 99.220
train 25 ====> Acc@1 91.088 Acc@5 99.812
valid 25 ====> Acc@1 81.480 Acc@5 99.060
train 26 ====> Acc@1 91.194 Acc@5 99.798
valid 26 ====> Acc@1 83.380 Acc@5 98.870
train 27 ====> Acc@1 91.382 Acc@5 99.850
valid 27 ====> Acc@1 81.630 Acc@5 99.020
train 28 ====> Acc@1 91.820 Acc@5 99.830
valid 28 ====> Acc@1 83.170 Acc@5 99.200
train 29 ====> Acc@1 92.046 Acc@5 99.864
valid 29 ====> Acc@1 85.130 Acc@5 99.150
train 30 ====> Acc@1 92.190 Acc@5 99.898
valid 30 ====> Acc@1 81.910 Acc@5 99.060
train 31 ====> Acc@1 92.262 Acc@5 99.868
valid 31 ====> Acc@1 83.460 Acc@5 99.360
train 32 ====> Acc@1 92.824 Acc@5 99.910
valid 32 ====> Acc@1 83.290 Acc@5 99.330
train 33 ====> Acc@1 92.826 Acc@5 99.896
valid 33 ====> Acc@1 84.410 Acc@5 99.310
train 34 ====> Acc@1 93.088 Acc@5 99.912
valid 34 ====> Acc@1 82.440 Acc@5 98.630
train 35 ====> Acc@1 93.034 Acc@5 99.932
valid 35 ====> Acc@1 82.380 Acc@5 99.100
train 36 ====> Acc@1 93.434 Acc@5 99.932
valid 36 ====> Acc@1 84.860 Acc@5 99.080
train 37 ====> Acc@1 93.446 Acc@5 99.920
valid 37 ====> Acc@1 84.390 Acc@5 99.290
train 38 ====> Acc@1 93.524 Acc@5 99.932
valid 38 ====> Acc@1 81.930 Acc@5 99.040
train 39 ====> Acc@1 93.620 Acc@5 99.928
valid 39 ====> Acc@1 84.960 Acc@5 99.380
train 40 ====> Acc@1 93.804 Acc@5 99.928
valid 40 ====> Acc@1 83.950 Acc@5 99.140
train 41 ====> Acc@1 93.900 Acc@5 99.938
valid 41 ====> Acc@1 84.170 Acc@5 99.200
train 42 ====> Acc@1 93.706 Acc@5 99.948
valid 42 ====> Acc@1 83.750 Acc@5 99.010
train 43 ====> Acc@1 93.748 Acc@5 99.936
valid 43 ====> Acc@1 80.570 Acc@5 97.740
train 44 ====> Acc@1 94.062 Acc@5 99.942
valid 44 ====> Acc@1 85.640 Acc@5 99.270
train 45 ====> Acc@1 94.208 Acc@5 99.944
valid 45 ====> Acc@1 84.220 Acc@5 99.180
train 46 ====> Acc@1 94.510 Acc@5 99.940
valid 46 ====> Acc@1 84.220 Acc@5 99.170
train 47 ====> Acc@1 94.144 Acc@5 99.948
valid 47 ====> Acc@1 85.170 Acc@5 99.230
train 48 ====> Acc@1 94.248 Acc@5 99.938
valid 48 ====> Acc@1 84.310 Acc@5 98.740
train 49 ====> Acc@1 94.556 Acc@5 99.940
valid 49 ====> Acc@1 81.790 Acc@5 99.020
train 50 ====> Acc@1 94.582 Acc@5 99.950
valid 50 ====> Acc@1 83.440 Acc@5 98.910
train 51 ====> Acc@1 94.758 Acc@5 99.950
valid 51 ====> Acc@1 82.820 Acc@5 99.370
train 52 ====> Acc@1 94.632 Acc@5 99.956
valid 52 ====> Acc@1 84.240 Acc@5 99.230
train 53 ====> Acc@1 94.770 Acc@5 99.966
valid 53 ====> Acc@1 85.180 Acc@5 99.360
train 54 ====> Acc@1 94.716 Acc@5 99.960
valid 54 ====> Acc@1 84.190 Acc@5 98.920
train 55 ====> Acc@1 94.908 Acc@5 99.944
valid 55 ====> Acc@1 85.070 Acc@5 99.340
train 56 ====> Acc@1 95.290 Acc@5 99.964
valid 56 ====> Acc@1 83.530 Acc@5 99.260
train 57 ====> Acc@1 95.144 Acc@5 99.956
valid 57 ====> Acc@1 84.980 Acc@5 99.330
train 58 ====> Acc@1 94.670 Acc@5 99.958
valid 58 ====> Acc@1 84.110 Acc@5 99.300
train 59 ====> Acc@1 95.094 Acc@5 99.958
valid 59 ====> Acc@1 85.000 Acc@5 99.360
train 60 ====> Acc@1 94.958 Acc@5 99.974
valid 60 ====> Acc@1 83.960 Acc@5 98.950
train 61 ====> Acc@1 94.996 Acc@5 99.960
valid 61 ====> Acc@1 82.030 Acc@5 98.970
