Files already downloaded and verified
Files already downloaded and verified
prune rate 0.9 regularization odecay 0.9
train 0 ====> Acc@1 20.634 Acc@5 73.578
valid 0 ====> Acc@1 31.690 Acc@5 85.570
train 1 ====> Acc@1 34.620 Acc@5 87.538
valid 1 ====> Acc@1 39.780 Acc@5 90.200
train 2 ====> Acc@1 47.168 Acc@5 92.418
valid 2 ====> Acc@1 54.350 Acc@5 94.720
train 3 ====> Acc@1 57.544 Acc@5 95.390
valid 3 ====> Acc@1 55.720 Acc@5 94.950
train 4 ====> Acc@1 65.558 Acc@5 97.084
valid 4 ====> Acc@1 60.230 Acc@5 96.320
train 5 ====> Acc@1 70.394 Acc@5 97.856
valid 5 ====> Acc@1 68.830 Acc@5 98.080
train 6 ====> Acc@1 74.616 Acc@5 98.368
valid 6 ====> Acc@1 69.180 Acc@5 97.440
train 7 ====> Acc@1 77.458 Acc@5 98.750
valid 7 ====> Acc@1 71.660 Acc@5 97.870
train 8 ====> Acc@1 79.546 Acc@5 98.916
valid 8 ====> Acc@1 72.550 Acc@5 98.140
train 9 ====> Acc@1 81.378 Acc@5 99.092
valid 9 ====> Acc@1 75.950 Acc@5 98.780
train 10 ====> Acc@1 82.582 Acc@5 99.230
valid 10 ====> Acc@1 79.200 Acc@5 98.900
train 11 ====> Acc@1 83.662 Acc@5 99.310
valid 11 ====> Acc@1 73.580 Acc@5 98.630
train 12 ====> Acc@1 84.702 Acc@5 99.368
valid 12 ====> Acc@1 79.460 Acc@5 98.970
train 13 ====> Acc@1 85.748 Acc@5 99.460
valid 13 ====> Acc@1 79.120 Acc@5 98.610
train 14 ====> Acc@1 86.474 Acc@5 99.510
valid 14 ====> Acc@1 80.340 Acc@5 98.750
train 15 ====> Acc@1 87.190 Acc@5 99.550
valid 15 ====> Acc@1 80.650 Acc@5 99.010
train 16 ====> Acc@1 87.942 Acc@5 99.652
valid 16 ====> Acc@1 79.930 Acc@5 98.290
train 17 ====> Acc@1 88.126 Acc@5 99.600
valid 17 ====> Acc@1 78.890 Acc@5 98.900
train 18 ====> Acc@1 88.934 Acc@5 99.664
valid 18 ====> Acc@1 81.680 Acc@5 99.190
train 19 ====> Acc@1 89.274 Acc@5 99.694
valid 19 ====> Acc@1 83.350 Acc@5 99.210
train 20 ====> Acc@1 89.734 Acc@5 99.734
valid 20 ====> Acc@1 84.390 Acc@5 99.110
train 21 ====> Acc@1 90.096 Acc@5 99.766
valid 21 ====> Acc@1 79.250 Acc@5 98.790
train 22 ====> Acc@1 90.120 Acc@5 99.780
valid 22 ====> Acc@1 81.650 Acc@5 99.000
train 23 ====> Acc@1 90.560 Acc@5 99.766
valid 23 ====> Acc@1 74.630 Acc@5 98.110
train 24 ====> Acc@1 91.198 Acc@5 99.804
valid 24 ====> Acc@1 80.720 Acc@5 98.490
train 25 ====> Acc@1 91.414 Acc@5 99.780
valid 25 ====> Acc@1 82.900 Acc@5 99.300
train 26 ====> Acc@1 91.838 Acc@5 99.858
