Files already downloaded and verified
Files already downloaded and verified
prune rate 0.9 regularization odecay 0.7
train 0 ====> Acc@1 17.656 Acc@5 68.072
valid 0 ====> Acc@1 29.140 Acc@5 84.700
train 1 ====> Acc@1 34.670 Acc@5 87.334
valid 1 ====> Acc@1 39.100 Acc@5 89.530
train 2 ====> Acc@1 47.034 Acc@5 92.082
valid 2 ====> Acc@1 52.950 Acc@5 94.310
train 3 ====> Acc@1 58.376 Acc@5 95.514
valid 3 ====> Acc@1 57.270 Acc@5 95.810
train 4 ====> Acc@1 67.410 Acc@5 97.338
valid 4 ====> Acc@1 65.560 Acc@5 96.460
train 5 ====> Acc@1 72.814 Acc@5 97.972
valid 5 ====> Acc@1 65.330 Acc@5 97.250
train 6 ====> Acc@1 76.822 Acc@5 98.484
valid 6 ====> Acc@1 72.220 Acc@5 97.850
train 7 ====> Acc@1 79.302 Acc@5 98.816
valid 7 ====> Acc@1 75.860 Acc@5 98.610
train 8 ====> Acc@1 81.224 Acc@5 99.082
valid 8 ====> Acc@1 71.130 Acc@5 97.480
train 9 ====> Acc@1 82.682 Acc@5 99.212
valid 9 ====> Acc@1 77.240 Acc@5 98.400
train 10 ====> Acc@1 83.950 Acc@5 99.318
valid 10 ====> Acc@1 79.550 Acc@5 98.850
train 11 ====> Acc@1 84.794 Acc@5 99.358
valid 11 ====> Acc@1 80.250 Acc@5 99.060
train 12 ====> Acc@1 85.540 Acc@5 99.532
valid 12 ====> Acc@1 79.040 Acc@5 98.600
train 13 ====> Acc@1 86.336 Acc@5 99.506
valid 13 ====> Acc@1 81.140 Acc@5 98.850
train 14 ====> Acc@1 87.198 Acc@5 99.600
valid 14 ====> Acc@1 77.770 Acc@5 98.380
train 15 ====> Acc@1 87.740 Acc@5 99.608
valid 15 ====> Acc@1 83.420 Acc@5 99.110
train 16 ====> Acc@1 88.432 Acc@5 99.676
valid 16 ====> Acc@1 84.010 Acc@5 99.230
train 17 ====> Acc@1 88.940 Acc@5 99.690
valid 17 ====> Acc@1 80.760 Acc@5 99.040
train 18 ====> Acc@1 89.354 Acc@5 99.712
valid 18 ====> Acc@1 80.920 Acc@5 99.170
train 19 ====> Acc@1 90.084 Acc@5 99.756
valid 19 ====> Acc@1 83.350 Acc@5 99.150
train 20 ====> Acc@1 90.104 Acc@5 99.776
valid 20 ====> Acc@1 84.200 Acc@5 99.420
train 21 ====> Acc@1 90.674 Acc@5 99.784
valid 21 ====> Acc@1 79.980 Acc@5 98.900
train 22 ====> Acc@1 90.780 Acc@5 99.792
valid 22 ====> Acc@1 81.640 Acc@5 99.040
train 23 ====> Acc@1 91.116 Acc@5 99.826
valid 23 ====> Acc@1 82.130 Acc@5 99.320
train 24 ====> Acc@1 91.772 Acc@5 99.860
valid 24 ====> Acc@1 81.460 Acc@5 98.700
train 25 ====> Acc@1 91.536 Acc@5 99.834
valid 25 ====> Acc@1 80.940 Acc@5 99.080
train 26 ====> Acc@1 92.078 Acc@5 99.848
valid 26 ====> Acc@1 83.110 Acc@5 99.140
train 27 ====> Acc@1 92.226 Acc@5 99.876
valid 27 ====> Acc@1 81.230 Acc@5 99.130
train 28 ====> Acc@1 92.326 Acc@5 99.866
valid 28 ====> Acc@1 84.320 Acc@5 99.140
train 29 ====> Acc@1 92.512 Acc@5 99.902
