Files already downloaded and verified
Files already downloaded and verified
prune rate 0.9 regularization odecay 1
train 39 ====> Acc@1 10.008 Acc@5 49.524
sparsity 39 ====> 96.01% || num_zero/num_total: 821623/855770
valid 39 ====> Acc@1 10.000 Acc@5 50.000
train 40 ====> Acc@1 9.874 Acc@5 49.746
sparsity 40 ====> 96.01% || num_zero/num_total: 821623/855770
valid 40 ====> Acc@1 10.000 Acc@5 50.000
train 41 ====> Acc@1 10.234 Acc@5 50.188
sparsity 41 ====> 96.01% || num_zero/num_total: 821623/855770
valid 41 ====> Acc@1 10.000 Acc@5 50.000
train 42 ====> Acc@1 9.906 Acc@5 49.280
sparsity 42 ====> 96.01% || num_zero/num_total: 821623/855770
valid 42 ====> Acc@1 10.000 Acc@5 50.000
train 43 ====> Acc@1 10.004 Acc@5 49.994
sparsity 43 ====> 96.01% || num_zero/num_total: 821623/855770
valid 43 ====> Acc@1 10.000 Acc@5 50.000
train 44 ====> Acc@1 9.752 Acc@5 49.674
sparsity 44 ====> 96.01% || num_zero/num_total: 821623/855770
valid 44 ====> Acc@1 10.000 Acc@5 50.000
train 45 ====> Acc@1 9.996 Acc@5 49.742
sparsity 45 ====> 96.01% || num_zero/num_total: 821623/855770
valid 45 ====> Acc@1 10.000 Acc@5 50.000
train 46 ====> Acc@1 9.972 Acc@5 50.380
sparsity 46 ====> 96.01% || num_zero/num_total: 821623/855770
valid 46 ====> Acc@1 10.000 Acc@5 50.000
train 47 ====> Acc@1 9.586 Acc@5 49.738
sparsity 47 ====> 96.01% || num_zero/num_total: 821623/855770
valid 47 ====> Acc@1 10.000 Acc@5 50.000
train 48 ====> Acc@1 9.772 Acc@5 49.620
sparsity 48 ====> 96.01% || num_zero/num_total: 821623/855770
valid 48 ====> Acc@1 10.000 Acc@5 50.000
train 49 ====> Acc@1 9.926 Acc@5 50.130
sparsity 49 ====> 96.01% || num_zero/num_total: 821623/855770
valid 49 ====> Acc@1 10.000 Acc@5 50.000
train 50 ====> Acc@1 10.134 Acc@5 50.126
sparsity 50 ====> 96.01% || num_zero/num_total: 821623/855770
valid 50 ====> Acc@1 10.000 Acc@5 50.000
train 51 ====> Acc@1 10.114 Acc@5 49.712
sparsity 51 ====> 96.01% || num_zero/num_total: 821623/855770
valid 51 ====> Acc@1 10.000 Acc@5 50.000
train 52 ====> Acc@1 10.034 Acc@5 49.678
sparsity 52 ====> 96.01% || num_zero/num_total: 821623/855770
valid 52 ====> Acc@1 10.000 Acc@5 50.000
train 53 ====> Acc@1 9.870 Acc@5 49.950
sparsity 53 ====> 96.01% || num_zero/num_total: 821623/855770
valid 53 ====> Acc@1 10.000 Acc@5 50.000
train 54 ====> Acc@1 10.000 Acc@5 49.844
sparsity 54 ====> 96.01% || num_zero/num_total: 821623/855770
valid 54 ====> Acc@1 10.000 Acc@5 50.000
train 55 ====> Acc@1 10.124 Acc@5 50.056
sparsity 55 ====> 96.01% || num_zero/num_total: 821623/855770
valid 55 ====> Acc@1 10.000 Acc@5 50.000
train 56 ====> Acc@1 10.116 Acc@5 49.916
sparsity 56 ====> 96.01% || num_zero/num_total: 821623/855770
valid 56 ====> Acc@1 10.000 Acc@5 50.000
train 57 ====> Acc@1 9.774 Acc@5 49.610
sparsity 57 ====> 96.01% || num_zero/num_total: 821623/855770
valid 57 ====> Acc@1 10.000 Acc@5 50.000
train 58 ====> Acc@1 10.084 Acc@5 49.670
sparsity 58 ====> 96.01% || num_zero/num_total: 821623/855770
valid 58 ====> Acc@1 10.000 Acc@5 50.000
train 59 ====> Acc@1 9.918 Acc@5 50.072
sparsity 59 ====> 96.01% || num_zero/num_total: 821623/855770
valid 59 ====> Acc@1 10.000 Acc@5 50.000
train 60 ====> Acc@1 10.060 Acc@5 49.734
sparsity 60 ====> 96.01% || num_zero/num_total: 821623/855770
valid 60 ====> Acc@1 10.000 Acc@5 50.000
train 61 ====> Acc@1 10.070 Acc@5 50.100
sparsity 61 ====> 96.01% || num_zero/num_total: 821623/855770
valid 61 ====> Acc@1 10.000 Acc@5 50.000
train 62 ====> Acc@1 10.090 Acc@5 50.010
sparsity 62 ====> 96.01% || num_zero/num_total: 821623/855770
valid 62 ====> Acc@1 10.000 Acc@5 50.000
train 63 ====> Acc@1 9.830 Acc@5 49.822
sparsity 63 ====> 96.01% || num_zero/num_total: 821623/855770
valid 63 ====> Acc@1 10.000 Acc@5 50.000
train 64 ====> Acc@1 10.018 Acc@5 49.926
sparsity 64 ====> 96.01% || num_zero/num_total: 821623/855770
valid 64 ====> Acc@1 10.000 Acc@5 50.000
train 65 ====> Acc@1 9.898 Acc@5 49.562
sparsity 65 ====> 96.01% || num_zero/num_total: 821623/855770
valid 65 ====> Acc@1 10.000 Acc@5 50.000
train 66 ====> Acc@1 9.878 Acc@5 49.268
sparsity 66 ====> 96.01% || num_zero/num_total: 821623/855770
valid 66 ====> Acc@1 10.000 Acc@5 50.000
train 67 ====> Acc@1 9.886 Acc@5 49.732
sparsity 67 ====> 96.01% || num_zero/num_total: 821623/855770
valid 67 ====> Acc@1 10.000 Acc@5 50.000
train 68 ====> Acc@1 10.024 Acc@5 50.214
sparsity 68 ====> 96.01% || num_zero/num_total: 821623/855770
valid 68 ====> Acc@1 10.000 Acc@5 50.000
train 69 ====> Acc@1 9.776 Acc@5 49.932
sparsity 69 ====> 96.01% || num_zero/num_total: 821623/855770
valid 69 ====> Acc@1 10.000 Acc@5 50.000
train 70 ====> Acc@1 9.896 Acc@5 49.804
sparsity 70 ====> 96.01% || num_zero/num_total: 821623/855770
valid 70 ====> Acc@1 10.000 Acc@5 50.000
train 71 ====> Acc@1 10.030 Acc@5 50.106
sparsity 71 ====> 96.01% || num_zero/num_total: 821623/855770
valid 71 ====> Acc@1 10.000 Acc@5 50.000
train 72 ====> Acc@1 9.938 Acc@5 49.948
sparsity 72 ====> 96.01% || num_zero/num_total: 821623/855770
valid 72 ====> Acc@1 10.000 Acc@5 50.000
train 73 ====> Acc@1 10.072 Acc@5 49.730
sparsity 73 ====> 96.01% || num_zero/num_total: 821623/855770
valid 73 ====> Acc@1 10.000 Acc@5 50.000
train 74 ====> Acc@1 9.996 Acc@5 50.008
sparsity 74 ====> 96.01% || num_zero/num_total: 821623/855770
valid 74 ====> Acc@1 10.000 Acc@5 50.000
train 75 ====> Acc@1 9.908 Acc@5 49.826
sparsity 75 ====> 96.01% || num_zero/num_total: 821623/855770
valid 75 ====> Acc@1 10.000 Acc@5 50.000
train 76 ====> Acc@1 9.986 Acc@5 49.520
sparsity 76 ====> 96.01% || num_zero/num_total: 821623/855770
valid 76 ====> Acc@1 10.000 Acc@5 50.000
train 77 ====> Acc@1 9.928 Acc@5 49.788
sparsity 77 ====> 96.01% || num_zero/num_total: 821623/855770
valid 77 ====> Acc@1 10.000 Acc@5 50.000
train 78 ====> Acc@1 10.220 Acc@5 50.138
sparsity 78 ====> 96.01% || num_zero/num_total: 821623/855770
valid 78 ====> Acc@1 10.000 Acc@5 50.000
train 79 ====> Acc@1 9.958 Acc@5 49.592
sparsity 79 ====> 96.01% || num_zero/num_total: 821623/855770
valid 79 ====> Acc@1 10.000 Acc@5 50.000
train 80 ====> Acc@1 9.728 Acc@5 49.770
sparsity 80 ====> 96.01% || num_zero/num_total: 821623/855770
valid 80 ====> Acc@1 10.000 Acc@5 50.000
train 81 ====> Acc@1 9.926 Acc@5 49.856
sparsity 81 ====> 96.01% || num_zero/num_total: 821623/855770
valid 81 ====> Acc@1 10.000 Acc@5 50.000
train 82 ====> Acc@1 9.870 Acc@5 49.648
sparsity 82 ====> 96.01% || num_zero/num_total: 821623/855770
valid 82 ====> Acc@1 10.000 Acc@5 50.000
train 83 ====> Acc@1 9.920 Acc@5 50.074
sparsity 83 ====> 96.01% || num_zero/num_total: 821623/855770
valid 83 ====> Acc@1 10.000 Acc@5 50.000
train 84 ====> Acc@1 9.782 Acc@5 49.654
sparsity 84 ====> 96.01% || num_zero/num_total: 821623/855770
valid 84 ====> Acc@1 10.000 Acc@5 50.000
train 85 ====> Acc@1 9.792 Acc@5 49.544
sparsity 85 ====> 96.01% || num_zero/num_total: 821623/855770
valid 85 ====> Acc@1 10.000 Acc@5 50.000
train 86 ====> Acc@1 9.880 Acc@5 49.996
sparsity 86 ====> 96.01% || num_zero/num_total: 821623/855770
valid 86 ====> Acc@1 10.000 Acc@5 50.000
train 87 ====> Acc@1 10.108 Acc@5 50.032
sparsity 87 ====> 96.01% || num_zero/num_total: 821623/855770
valid 87 ====> Acc@1 10.000 Acc@5 50.000
train 88 ====> Acc@1 10.280 Acc@5 50.198
sparsity 88 ====> 96.01% || num_zero/num_total: 821623/855770
valid 88 ====> Acc@1 10.000 Acc@5 50.000
train 89 ====> Acc@1 9.638 Acc@5 49.738
sparsity 89 ====> 96.01% || num_zero/num_total: 821623/855770
valid 89 ====> Acc@1 10.000 Acc@5 50.000
train 90 ====> Acc@1 9.780 Acc@5 50.048
sparsity 90 ====> 96.01% || num_zero/num_total: 821623/855770
valid 90 ====> Acc@1 10.000 Acc@5 50.000
train 91 ====> Acc@1 10.098 Acc@5 50.074
sparsity 91 ====> 96.01% || num_zero/num_total: 821623/855770
valid 91 ====> Acc@1 10.000 Acc@5 50.000
train 92 ====> Acc@1 9.936 Acc@5 50.126
sparsity 92 ====> 96.01% || num_zero/num_total: 821623/855770
valid 92 ====> Acc@1 10.000 Acc@5 50.000
train 93 ====> Acc@1 9.926 Acc@5 49.528
sparsity 93 ====> 96.01% || num_zero/num_total: 821623/855770
valid 93 ====> Acc@1 10.000 Acc@5 50.000
train 94 ====> Acc@1 9.988 Acc@5 50.026
sparsity 94 ====> 96.01% || num_zero/num_total: 821623/855770
valid 94 ====> Acc@1 10.000 Acc@5 50.000
train 95 ====> Acc@1 9.860 Acc@5 49.836
sparsity 95 ====> 96.01% || num_zero/num_total: 821623/855770
valid 95 ====> Acc@1 10.000 Acc@5 50.000
train 96 ====> Acc@1 9.866 Acc@5 50.016
sparsity 96 ====> 96.01% || num_zero/num_total: 821623/855770
valid 96 ====> Acc@1 10.000 Acc@5 50.000
train 97 ====> Acc@1 9.918 Acc@5 50.172
sparsity 97 ====> 96.01% || num_zero/num_total: 821623/855770
valid 97 ====> Acc@1 10.000 Acc@5 50.000
train 98 ====> Acc@1 10.130 Acc@5 49.916
sparsity 98 ====> 96.01% || num_zero/num_total: 821623/855770
valid 98 ====> Acc@1 10.000 Acc@5 50.000
train 99 ====> Acc@1 9.720 Acc@5 50.196
sparsity 99 ====> 96.01% || num_zero/num_total: 821623/855770
valid 99 ====> Acc@1 10.000 Acc@5 50.000
train 100 ====> Acc@1 9.840 Acc@5 49.884
sparsity 100 ====> 96.01% || num_zero/num_total: 821623/855770
valid 100 ====> Acc@1 10.000 Acc@5 50.000
train 101 ====> Acc@1 10.122 Acc@5 50.352
sparsity 101 ====> 96.01% || num_zero/num_total: 821623/855770
valid 101 ====> Acc@1 10.000 Acc@5 50.000
train 102 ====> Acc@1 9.968 Acc@5 50.010
sparsity 102 ====> 96.01% || num_zero/num_total: 821623/855770
valid 102 ====> Acc@1 10.000 Acc@5 50.000
train 103 ====> Acc@1 9.840 Acc@5 49.578
sparsity 103 ====> 96.01% || num_zero/num_total: 821623/855770
valid 103 ====> Acc@1 10.000 Acc@5 50.000
train 104 ====> Acc@1 9.846 Acc@5 49.556
sparsity 104 ====> 96.01% || num_zero/num_total: 821623/855770
valid 104 ====> Acc@1 10.000 Acc@5 50.000
train 105 ====> Acc@1 9.802 Acc@5 50.080
sparsity 105 ====> 96.01% || num_zero/num_total: 821623/855770
valid 105 ====> Acc@1 10.000 Acc@5 50.000
train 106 ====> Acc@1 9.970 Acc@5 50.118
sparsity 106 ====> 96.01% || num_zero/num_total: 821623/855770
valid 106 ====> Acc@1 10.000 Acc@5 50.000
train 107 ====> Acc@1 9.958 Acc@5 49.934
sparsity 107 ====> 96.01% || num_zero/num_total: 821623/855770
valid 107 ====> Acc@1 10.000 Acc@5 50.000
train 108 ====> Acc@1 9.720 Acc@5 49.748
sparsity 108 ====> 96.01% || num_zero/num_total: 821623/855770
valid 108 ====> Acc@1 10.000 Acc@5 50.000
train 109 ====> Acc@1 9.884 Acc@5 49.882
sparsity 109 ====> 96.01% || num_zero/num_total: 821623/855770
valid 109 ====> Acc@1 10.000 Acc@5 50.000
train 110 ====> Acc@1 9.960 Acc@5 49.696
sparsity 110 ====> 96.01% || num_zero/num_total: 821623/855770
valid 110 ====> Acc@1 10.000 Acc@5 50.000
train 111 ====> Acc@1 9.856 Acc@5 49.740
sparsity 111 ====> 96.01% || num_zero/num_total: 821623/855770
valid 111 ====> Acc@1 10.000 Acc@5 50.000
train 112 ====> Acc@1 9.880 Acc@5 49.526
sparsity 112 ====> 96.01% || num_zero/num_total: 821623/855770
valid 112 ====> Acc@1 10.000 Acc@5 50.000
train 113 ====> Acc@1 9.910 Acc@5 49.758
sparsity 113 ====> 96.01% || num_zero/num_total: 821623/855770
valid 113 ====> Acc@1 10.000 Acc@5 50.000
train 114 ====> Acc@1 10.060 Acc@5 49.892
sparsity 114 ====> 96.01% || num_zero/num_total: 821623/855770
valid 114 ====> Acc@1 10.000 Acc@5 50.000
train 115 ====> Acc@1 9.802 Acc@5 50.048
sparsity 115 ====> 96.01% || num_zero/num_total: 821623/855770
valid 115 ====> Acc@1 10.000 Acc@5 50.000
train 116 ====> Acc@1 9.682 Acc@5 49.840
sparsity 116 ====> 96.01% || num_zero/num_total: 821623/855770
valid 116 ====> Acc@1 10.000 Acc@5 50.000
train 117 ====> Acc@1 9.884 Acc@5 50.006
sparsity 117 ====> 96.01% || num_zero/num_total: 821623/855770
valid 117 ====> Acc@1 10.000 Acc@5 50.000
train 118 ====> Acc@1 10.222 Acc@5 49.926
sparsity 118 ====> 96.01% || num_zero/num_total: 821623/855770
valid 118 ====> Acc@1 10.000 Acc@5 50.000
train 119 ====> Acc@1 10.050 Acc@5 49.682
sparsity 119 ====> 96.01% || num_zero/num_total: 821623/855770
valid 119 ====> Acc@1 10.000 Acc@5 50.000
train 120 ====> Acc@1 9.982 Acc@5 49.954
sparsity 120 ====> 96.01% || num_zero/num_total: 821623/855770
valid 120 ====> Acc@1 10.000 Acc@5 50.000
train 121 ====> Acc@1 9.994 Acc@5 50.160
sparsity 121 ====> 96.01% || num_zero/num_total: 821623/855770
valid 121 ====> Acc@1 10.000 Acc@5 50.000
train 122 ====> Acc@1 10.118 Acc@5 49.902
sparsity 122 ====> 96.01% || num_zero/num_total: 821623/855770
valid 122 ====> Acc@1 10.000 Acc@5 50.000
train 123 ====> Acc@1 9.982 Acc@5 49.686
sparsity 123 ====> 96.01% || num_zero/num_total: 821623/855770
valid 123 ====> Acc@1 10.000 Acc@5 50.000
train 124 ====> Acc@1 10.034 Acc@5 50.094
sparsity 124 ====> 96.01% || num_zero/num_total: 821623/855770
valid 124 ====> Acc@1 10.000 Acc@5 50.000
train 125 ====> Acc@1 9.996 Acc@5 49.848
sparsity 125 ====> 96.01% || num_zero/num_total: 821623/855770
valid 125 ====> Acc@1 10.000 Acc@5 50.000
train 126 ====> Acc@1 9.836 Acc@5 50.124
sparsity 126 ====> 96.01% || num_zero/num_total: 821623/855770
valid 126 ====> Acc@1 10.000 Acc@5 50.000
train 127 ====> Acc@1 9.666 Acc@5 49.726
sparsity 127 ====> 96.01% || num_zero/num_total: 821623/855770
valid 127 ====> Acc@1 10.000 Acc@5 50.000
train 128 ====> Acc@1 10.100 Acc@5 49.526
sparsity 128 ====> 96.01% || num_zero/num_total: 821623/855770
valid 128 ====> Acc@1 10.000 Acc@5 50.000
train 129 ====> Acc@1 9.846 Acc@5 49.548
sparsity 129 ====> 96.01% || num_zero/num_total: 821623/855770
valid 129 ====> Acc@1 10.000 Acc@5 50.000
train 130 ====> Acc@1 9.940 Acc@5 49.850
sparsity 130 ====> 96.01% || num_zero/num_total: 821623/855770
valid 130 ====> Acc@1 10.000 Acc@5 50.000
train 131 ====> Acc@1 10.074 Acc@5 49.838
sparsity 131 ====> 96.01% || num_zero/num_total: 821623/855770
valid 131 ====> Acc@1 10.000 Acc@5 50.000
train 132 ====> Acc@1 9.840 Acc@5 50.122
sparsity 132 ====> 96.01% || num_zero/num_total: 821623/855770
valid 132 ====> Acc@1 10.000 Acc@5 50.000
train 133 ====> Acc@1 10.102 Acc@5 49.658
sparsity 133 ====> 96.01% || num_zero/num_total: 821623/855770
valid 133 ====> Acc@1 10.000 Acc@5 50.000
train 134 ====> Acc@1 9.814 Acc@5 49.858
sparsity 134 ====> 96.01% || num_zero/num_total: 821623/855770
valid 134 ====> Acc@1 10.000 Acc@5 50.000
train 135 ====> Acc@1 9.822 Acc@5 50.402
sparsity 135 ====> 96.01% || num_zero/num_total: 821623/855770
valid 135 ====> Acc@1 10.000 Acc@5 50.000
train 136 ====> Acc@1 10.042 Acc@5 49.938
sparsity 136 ====> 96.01% || num_zero/num_total: 821623/855770
valid 136 ====> Acc@1 10.000 Acc@5 50.000
train 137 ====> Acc@1 10.072 Acc@5 49.550
sparsity 137 ====> 96.01% || num_zero/num_total: 821623/855770
valid 137 ====> Acc@1 10.000 Acc@5 50.000
train 138 ====> Acc@1 9.966 Acc@5 49.888
sparsity 138 ====> 96.01% || num_zero/num_total: 821623/855770
valid 138 ====> Acc@1 10.000 Acc@5 50.000
train 139 ====> Acc@1 9.986 Acc@5 50.334
sparsity 139 ====> 96.01% || num_zero/num_total: 821623/855770
valid 139 ====> Acc@1 10.000 Acc@5 50.000
train 140 ====> Acc@1 10.082 Acc@5 50.060
sparsity 140 ====> 96.01% || num_zero/num_total: 821623/855770
valid 140 ====> Acc@1 10.000 Acc@5 50.000
train 141 ====> Acc@1 10.066 Acc@5 50.030
sparsity 141 ====> 96.01% || num_zero/num_total: 821623/855770
valid 141 ====> Acc@1 10.000 Acc@5 50.000
train 142 ====> Acc@1 9.906 Acc@5 49.828
sparsity 142 ====> 96.01% || num_zero/num_total: 821623/855770
valid 142 ====> Acc@1 10.000 Acc@5 50.000
train 143 ====> Acc@1 10.070 Acc@5 49.672
sparsity 143 ====> 96.01% || num_zero/num_total: 821623/855770
valid 143 ====> Acc@1 10.000 Acc@5 50.000
train 144 ====> Acc@1 9.958 Acc@5 50.314
sparsity 144 ====> 96.01% || num_zero/num_total: 821623/855770
valid 144 ====> Acc@1 10.000 Acc@5 50.000
train 145 ====> Acc@1 9.880 Acc@5 50.288
sparsity 145 ====> 96.01% || num_zero/num_total: 821623/855770
valid 145 ====> Acc@1 10.000 Acc@5 50.000
train 146 ====> Acc@1 10.090 Acc@5 49.920
sparsity 146 ====> 96.01% || num_zero/num_total: 821623/855770
valid 146 ====> Acc@1 10.000 Acc@5 50.000
train 147 ====> Acc@1 9.982 Acc@5 49.748
sparsity 147 ====> 96.01% || num_zero/num_total: 821623/855770
valid 147 ====> Acc@1 10.000 Acc@5 50.000
train 148 ====> Acc@1 10.048 Acc@5 49.968
sparsity 148 ====> 96.01% || num_zero/num_total: 821623/855770
valid 148 ====> Acc@1 10.000 Acc@5 50.000
train 149 ====> Acc@1 9.786 Acc@5 49.666
sparsity 149 ====> 96.01% || num_zero/num_total: 821623/855770
valid 149 ====> Acc@1 10.000 Acc@5 50.000
train 150 ====> Acc@1 9.764 Acc@5 49.892
sparsity 150 ====> 96.01% || num_zero/num_total: 821623/855770
valid 150 ====> Acc@1 10.000 Acc@5 50.000
train 151 ====> Acc@1 9.968 Acc@5 50.002
sparsity 151 ====> 96.01% || num_zero/num_total: 821623/855770
valid 151 ====> Acc@1 10.000 Acc@5 50.000
train 152 ====> Acc@1 9.700 Acc@5 49.854
sparsity 152 ====> 96.01% || num_zero/num_total: 821623/855770
valid 152 ====> Acc@1 10.000 Acc@5 50.000
train 153 ====> Acc@1 9.880 Acc@5 50.272
sparsity 153 ====> 96.01% || num_zero/num_total: 821623/855770
valid 153 ====> Acc@1 10.000 Acc@5 50.000
train 154 ====> Acc@1 9.840 Acc@5 49.530
sparsity 154 ====> 96.01% || num_zero/num_total: 821623/855770
valid 154 ====> Acc@1 10.000 Acc@5 50.000
train 155 ====> Acc@1 9.998 Acc@5 50.164
sparsity 155 ====> 96.01% || num_zero/num_total: 821623/855770
valid 155 ====> Acc@1 10.000 Acc@5 50.000
train 156 ====> Acc@1 9.792 Acc@5 49.490
sparsity 156 ====> 96.01% || num_zero/num_total: 821623/855770
valid 156 ====> Acc@1 10.000 Acc@5 50.000
train 157 ====> Acc@1 10.146 Acc@5 50.144
sparsity 157 ====> 96.01% || num_zero/num_total: 821623/855770
valid 157 ====> Acc@1 10.000 Acc@5 50.000
train 158 ====> Acc@1 10.122 Acc@5 50.014
sparsity 158 ====> 96.01% || num_zero/num_total: 821623/855770
valid 158 ====> Acc@1 10.000 Acc@5 50.000
train 159 ====> Acc@1 9.968 Acc@5 50.306
sparsity 159 ====> 96.01% || num_zero/num_total: 821623/855770
