Files already downloaded and verified
Files already downloaded and verified
prune rate 0.9 regularization odecay 1
train 0 ====> Acc@1 10.024 Acc@5 49.638
sparsity 0 ====> 96.01% || num_zero/num_total: 821623/855770
valid 0 ====> Acc@1 10.000 Acc@5 50.000
train 1 ====> Acc@1 9.950 Acc@5 50.284
sparsity 1 ====> 96.01% || num_zero/num_total: 821623/855770
valid 1 ====> Acc@1 10.000 Acc@5 50.000
train 2 ====> Acc@1 10.182 Acc@5 50.138
sparsity 2 ====> 96.01% || num_zero/num_total: 821623/855770
valid 2 ====> Acc@1 10.000 Acc@5 50.000
train 3 ====> Acc@1 9.830 Acc@5 50.026
sparsity 3 ====> 96.01% || num_zero/num_total: 821623/855770
valid 3 ====> Acc@1 10.000 Acc@5 50.000
train 4 ====> Acc@1 9.894 Acc@5 49.764
sparsity 4 ====> 96.01% || num_zero/num_total: 821623/855770
valid 4 ====> Acc@1 10.000 Acc@5 50.000
train 5 ====> Acc@1 9.698 Acc@5 49.336
sparsity 5 ====> 96.01% || num_zero/num_total: 821623/855770
valid 5 ====> Acc@1 10.000 Acc@5 50.000
train 6 ====> Acc@1 9.828 Acc@5 49.562
sparsity 6 ====> 96.01% || num_zero/num_total: 821623/855770
valid 6 ====> Acc@1 10.000 Acc@5 50.000
train 7 ====> Acc@1 10.022 Acc@5 49.942
sparsity 7 ====> 96.01% || num_zero/num_total: 821623/855770
valid 7 ====> Acc@1 10.000 Acc@5 50.000
train 8 ====> Acc@1 9.944 Acc@5 49.954
sparsity 8 ====> 96.01% || num_zero/num_total: 821623/855770
valid 8 ====> Acc@1 10.000 Acc@5 50.000
train 9 ====> Acc@1 10.094 Acc@5 50.022
sparsity 9 ====> 96.01% || num_zero/num_total: 821623/855770
valid 9 ====> Acc@1 10.000 Acc@5 50.000
train 10 ====> Acc@1 10.048 Acc@5 49.940
sparsity 10 ====> 96.01% || num_zero/num_total: 821623/855770
valid 10 ====> Acc@1 10.000 Acc@5 50.000
train 11 ====> Acc@1 9.928 Acc@5 49.498
sparsity 11 ====> 96.01% || num_zero/num_total: 821623/855770
valid 11 ====> Acc@1 10.000 Acc@5 50.000
train 12 ====> Acc@1 9.974 Acc@5 49.604
sparsity 12 ====> 96.01% || num_zero/num_total: 821623/855770
valid 12 ====> Acc@1 10.000 Acc@5 50.000
train 13 ====> Acc@1 10.052 Acc@5 50.048
sparsity 13 ====> 96.01% || num_zero/num_total: 821623/855770
valid 13 ====> Acc@1 10.000 Acc@5 50.000
train 14 ====> Acc@1 9.950 Acc@5 49.586
sparsity 14 ====> 96.01% || num_zero/num_total: 821623/855770
valid 14 ====> Acc@1 10.000 Acc@5 50.000
train 15 ====> Acc@1 9.994 Acc@5 49.756
sparsity 15 ====> 96.01% || num_zero/num_total: 821623/855770
valid 15 ====> Acc@1 10.000 Acc@5 50.000
train 16 ====> Acc@1 10.170 Acc@5 50.158
sparsity 16 ====> 96.01% || num_zero/num_total: 821623/855770
valid 16 ====> Acc@1 10.000 Acc@5 50.000
train 17 ====> Acc@1 9.930 Acc@5 49.664
sparsity 17 ====> 96.01% || num_zero/num_total: 821623/855770
valid 17 ====> Acc@1 10.000 Acc@5 50.000
train 18 ====> Acc@1 9.914 Acc@5 49.584
sparsity 18 ====> 96.01% || num_zero/num_total: 821623/855770
valid 18 ====> Acc@1 10.000 Acc@5 50.000
train 19 ====> Acc@1 10.120 Acc@5 50.056
sparsity 19 ====> 96.01% || num_zero/num_total: 821623/855770
valid 19 ====> Acc@1 10.000 Acc@5 50.000
train 20 ====> Acc@1 9.742 Acc@5 49.846
sparsity 20 ====> 96.01% || num_zero/num_total: 821623/855770
valid 20 ====> Acc@1 10.000 Acc@5 50.000
train 21 ====> Acc@1 9.916 Acc@5 49.736
sparsity 21 ====> 96.01% || num_zero/num_total: 821623/855770
valid 21 ====> Acc@1 10.000 Acc@5 50.000
train 22 ====> Acc@1 9.820 Acc@5 49.372
sparsity 22 ====> 96.01% || num_zero/num_total: 821623/855770
valid 22 ====> Acc@1 10.000 Acc@5 50.000
train 23 ====> Acc@1 10.108 Acc@5 50.052
sparsity 23 ====> 96.01% || num_zero/num_total: 821623/855770
valid 23 ====> Acc@1 10.000 Acc@5 50.000
train 24 ====> Acc@1 10.000 Acc@5 49.838
sparsity 24 ====> 96.01% || num_zero/num_total: 821623/855770
valid 24 ====> Acc@1 10.000 Acc@5 50.000
train 25 ====> Acc@1 9.922 Acc@5 50.308
sparsity 25 ====> 96.01% || num_zero/num_total: 821623/855770
valid 25 ====> Acc@1 10.000 Acc@5 50.000
train 26 ====> Acc@1 9.940 Acc@5 49.782
sparsity 26 ====> 96.01% || num_zero/num_total: 821623/855770
valid 26 ====> Acc@1 10.000 Acc@5 50.000
train 27 ====> Acc@1 9.890 Acc@5 49.916
sparsity 27 ====> 96.01% || num_zero/num_total: 821623/855770
valid 27 ====> Acc@1 10.000 Acc@5 50.000
train 28 ====> Acc@1 9.954 Acc@5 49.286
sparsity 28 ====> 96.01% || num_zero/num_total: 821623/855770
valid 28 ====> Acc@1 10.000 Acc@5 50.000
train 29 ====> Acc@1 10.312 Acc@5 50.164
sparsity 29 ====> 96.01% || num_zero/num_total: 821623/855770
valid 29 ====> Acc@1 10.000 Acc@5 50.000
train 30 ====> Acc@1 10.068 Acc@5 50.044
sparsity 30 ====> 96.01% || num_zero/num_total: 821623/855770
valid 30 ====> Acc@1 10.000 Acc@5 50.000
train 31 ====> Acc@1 10.022 Acc@5 49.774
sparsity 31 ====> 96.01% || num_zero/num_total: 821623/855770
valid 31 ====> Acc@1 10.000 Acc@5 50.000
train 32 ====> Acc@1 10.222 Acc@5 49.962
sparsity 32 ====> 96.01% || num_zero/num_total: 821623/855770
valid 32 ====> Acc@1 10.000 Acc@5 50.000
train 33 ====> Acc@1 9.772 Acc@5 50.118
sparsity 33 ====> 96.01% || num_zero/num_total: 821623/855770
valid 33 ====> Acc@1 10.000 Acc@5 50.000
train 34 ====> Acc@1 9.984 Acc@5 49.932
sparsity 34 ====> 96.01% || num_zero/num_total: 821623/855770
valid 34 ====> Acc@1 10.000 Acc@5 50.000
train 35 ====> Acc@1 9.942 Acc@5 49.328
sparsity 35 ====> 96.01% || num_zero/num_total: 821623/855770
valid 35 ====> Acc@1 10.000 Acc@5 50.000
train 36 ====> Acc@1 9.832 Acc@5 49.524
sparsity 36 ====> 96.01% || num_zero/num_total: 821623/855770
valid 36 ====> Acc@1 10.000 Acc@5 50.000
train 37 ====> Acc@1 9.850 Acc@5 49.808
sparsity 37 ====> 96.01% || num_zero/num_total: 821623/855770
valid 37 ====> Acc@1 10.000 Acc@5 50.000
train 38 ====> Acc@1 9.936 Acc@5 50.156
sparsity 38 ====> 96.01% || num_zero/num_total: 821623/855770
valid 38 ====> Acc@1 10.000 Acc@5 50.000
