Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 1
sparsity 157 ====> 51.83% || num_zero/num_total: 443581/855770
valid 157 ====> Acc@1 78.360 Acc@5 98.650
train 158 ====> Acc@1 85.336 Acc@5 99.504
sparsity 158 ====> 51.83% || num_zero/num_total: 443581/855770
valid 158 ====> Acc@1 78.290 Acc@5 98.700
train 159 ====> Acc@1 85.502 Acc@5 99.440
sparsity 159 ====> 51.83% || num_zero/num_total: 443581/855770
valid 159 ====> Acc@1 75.320 Acc@5 98.060
train 160 ====> Acc@1 85.582 Acc@5 99.462
sparsity 160 ====> 51.83% || num_zero/num_total: 443581/855770
valid 160 ====> Acc@1 75.930 Acc@5 98.710
train 161 ====> Acc@1 85.668 Acc@5 99.488
sparsity 161 ====> 51.83% || num_zero/num_total: 443581/855770
valid 161 ====> Acc@1 76.430 Acc@5 98.740
train 162 ====> Acc@1 85.538 Acc@5 99.508
sparsity 162 ====> 51.83% || num_zero/num_total: 443581/855770
valid 162 ====> Acc@1 78.330 Acc@5 98.860
train 163 ====> Acc@1 85.784 Acc@5 99.454
sparsity 163 ====> 51.83% || num_zero/num_total: 443581/855770
valid 163 ====> Acc@1 77.290 Acc@5 98.830
train 164 ====> Acc@1 86.010 Acc@5 99.494
sparsity 164 ====> 51.83% || num_zero/num_total: 443581/855770
valid 164 ====> Acc@1 79.460 Acc@5 98.440
train 165 ====> Acc@1 86.034 Acc@5 99.466
sparsity 165 ====> 51.83% || num_zero/num_total: 443581/855770
valid 165 ====> Acc@1 79.060 Acc@5 98.610
train 166 ====> Acc@1 86.066 Acc@5 99.526
sparsity 166 ====> 51.83% || num_zero/num_total: 443581/855770
valid 166 ====> Acc@1 72.910 Acc@5 98.440
train 167 ====> Acc@1 86.048 Acc@5 99.496
sparsity 167 ====> 51.83% || num_zero/num_total: 443581/855770
valid 167 ====> Acc@1 80.010 Acc@5 98.840
train 168 ====> Acc@1 86.010 Acc@5 99.452
sparsity 168 ====> 51.83% || num_zero/num_total: 443581/855770
valid 168 ====> Acc@1 76.690 Acc@5 98.310
train 169 ====> Acc@1 86.252 Acc@5 99.458
sparsity 169 ====> 51.83% || num_zero/num_total: 443581/855770
valid 169 ====> Acc@1 77.680 Acc@5 98.340
train 170 ====> Acc@1 86.096 Acc@5 99.512
sparsity 170 ====> 51.83% || num_zero/num_total: 443581/855770
valid 170 ====> Acc@1 80.470 Acc@5 98.900
train 171 ====> Acc@1 86.028 Acc@5 99.532
sparsity 171 ====> 51.83% || num_zero/num_total: 443581/855770
valid 171 ====> Acc@1 77.790 Acc@5 98.060
train 172 ====> Acc@1 86.282 Acc@5 99.522
sparsity 172 ====> 51.83% || num_zero/num_total: 443581/855770
valid 172 ====> Acc@1 74.980 Acc@5 98.510
train 173 ====> Acc@1 86.228 Acc@5 99.500
sparsity 173 ====> 51.83% || num_zero/num_total: 443581/855770
valid 173 ====> Acc@1 74.210 Acc@5 97.590
train 174 ====> Acc@1 86.258 Acc@5 99.482
sparsity 174 ====> 51.83% || num_zero/num_total: 443581/855770
valid 174 ====> Acc@1 74.970 Acc@5 97.760
train 175 ====> Acc@1 86.662 Acc@5 99.514
sparsity 175 ====> 51.83% || num_zero/num_total: 443581/855770
valid 175 ====> Acc@1 76.630 Acc@5 98.670
train 176 ====> Acc@1 86.828 Acc@5 99.506
sparsity 176 ====> 51.83% || num_zero/num_total: 443581/855770
valid 176 ====> Acc@1 78.210 Acc@5 98.770
train 177 ====> Acc@1 86.584 Acc@5 99.522
sparsity 177 ====> 51.83% || num_zero/num_total: 443581/855770
valid 177 ====> Acc@1 80.090 Acc@5 98.830
train 178 ====> Acc@1 86.592 Acc@5 99.474
sparsity 178 ====> 51.83% || num_zero/num_total: 443581/855770
valid 178 ====> Acc@1 80.740 Acc@5 98.670
train 179 ====> Acc@1 86.640 Acc@5 99.536
sparsity 179 ====> 51.83% || num_zero/num_total: 443581/855770
valid 179 ====> Acc@1 81.760 Acc@5 98.940
train 180 ====> Acc@1 86.620 Acc@5 99.500
sparsity 180 ====> 51.83% || num_zero/num_total: 443581/855770
valid 180 ====> Acc@1 71.870 Acc@5 98.400
train 181 ====> Acc@1 86.900 Acc@5 99.528
sparsity 181 ====> 51.83% || num_zero/num_total: 443581/855770
valid 181 ====> Acc@1 78.680 Acc@5 99.000
train 182 ====> Acc@1 86.756 Acc@5 99.566
sparsity 182 ====> 51.83% || num_zero/num_total: 443581/855770
valid 182 ====> Acc@1 80.870 Acc@5 98.820
train 183 ====> Acc@1 86.778 Acc@5 99.548
sparsity 183 ====> 51.83% || num_zero/num_total: 443581/855770
valid 183 ====> Acc@1 78.770 Acc@5 98.150
train 184 ====> Acc@1 86.666 Acc@5 99.546
sparsity 184 ====> 51.83% || num_zero/num_total: 443581/855770
valid 184 ====> Acc@1 76.210 Acc@5 98.420
train 185 ====> Acc@1 86.856 Acc@5 99.578
sparsity 185 ====> 51.83% || num_zero/num_total: 443581/855770
valid 185 ====> Acc@1 76.310 Acc@5 98.790
train 186 ====> Acc@1 86.904 Acc@5 99.550
sparsity 186 ====> 51.83% || num_zero/num_total: 443581/855770
valid 186 ====> Acc@1 80.700 Acc@5 98.970
train 187 ====> Acc@1 87.114 Acc@5 99.536
sparsity 187 ====> 51.83% || num_zero/num_total: 443581/855770
valid 187 ====> Acc@1 76.990 Acc@5 98.460
train 188 ====> Acc@1 87.138 Acc@5 99.578
sparsity 188 ====> 51.83% || num_zero/num_total: 443581/855770
valid 188 ====> Acc@1 80.300 Acc@5 98.620
train 189 ====> Acc@1 87.340 Acc@5 99.600
sparsity 189 ====> 51.83% || num_zero/num_total: 443581/855770
valid 189 ====> Acc@1 76.120 Acc@5 98.540
train 190 ====> Acc@1 87.336 Acc@5 99.596
sparsity 190 ====> 51.83% || num_zero/num_total: 443581/855770
valid 190 ====> Acc@1 78.850 Acc@5 98.680
train 191 ====> Acc@1 87.342 Acc@5 99.612
sparsity 191 ====> 51.83% || num_zero/num_total: 443581/855770
valid 191 ====> Acc@1 75.480 Acc@5 97.120
train 192 ====> Acc@1 87.322 Acc@5 99.564
sparsity 192 ====> 51.83% || num_zero/num_total: 443581/855770
valid 192 ====> Acc@1 78.130 Acc@5 98.680
train 193 ====> Acc@1 87.402 Acc@5 99.556
sparsity 193 ====> 51.83% || num_zero/num_total: 443581/855770
valid 193 ====> Acc@1 83.080 Acc@5 99.120
train 194 ====> Acc@1 87.332 Acc@5 99.626
sparsity 194 ====> 51.83% || num_zero/num_total: 443581/855770
valid 194 ====> Acc@1 78.170 Acc@5 97.750
train 195 ====> Acc@1 87.296 Acc@5 99.582
sparsity 195 ====> 51.83% || num_zero/num_total: 443581/855770
valid 195 ====> Acc@1 73.410 Acc@5 97.180
train 196 ====> Acc@1 87.242 Acc@5 99.592
sparsity 196 ====> 51.83% || num_zero/num_total: 443581/855770
valid 196 ====> Acc@1 80.250 Acc@5 98.780
train 197 ====> Acc@1 87.492 Acc@5 99.592
sparsity 197 ====> 51.83% || num_zero/num_total: 443581/855770
valid 197 ====> Acc@1 68.820 Acc@5 95.570
train 198 ====> Acc@1 87.368 Acc@5 99.616
sparsity 198 ====> 51.83% || num_zero/num_total: 443581/855770
valid 198 ====> Acc@1 78.270 Acc@5 98.280
train 199 ====> Acc@1 87.498 Acc@5 99.614
sparsity 199 ====> 51.83% || num_zero/num_total: 443581/855770
valid 199 ====> Acc@1 59.230 Acc@5 95.030
train 200 ====> Acc@1 87.208 Acc@5 99.608
sparsity 200 ====> 51.83% || num_zero/num_total: 443581/855770
valid 200 ====> Acc@1 78.990 Acc@5 98.540
train 201 ====> Acc@1 87.660 Acc@5 99.646
sparsity 201 ====> 51.83% || num_zero/num_total: 443581/855770
valid 201 ====> Acc@1 80.460 Acc@5 98.820
train 202 ====> Acc@1 87.368 Acc@5 99.590
sparsity 202 ====> 51.83% || num_zero/num_total: 443581/855770
valid 202 ====> Acc@1 79.270 Acc@5 98.590
train 203 ====> Acc@1 87.910 Acc@5 99.648
sparsity 203 ====> 51.83% || num_zero/num_total: 443581/855770
valid 203 ====> Acc@1 80.770 Acc@5 98.840
train 204 ====> Acc@1 87.378 Acc@5 99.574
sparsity 204 ====> 51.83% || num_zero/num_total: 443581/855770
valid 204 ====> Acc@1 73.660 Acc@5 98.210
train 205 ====> Acc@1 87.586 Acc@5 99.616
sparsity 205 ====> 51.83% || num_zero/num_total: 443581/855770
valid 205 ====> Acc@1 77.300 Acc@5 98.570
train 206 ====> Acc@1 87.702 Acc@5 99.644
sparsity 206 ====> 51.83% || num_zero/num_total: 443581/855770
valid 206 ====> Acc@1 77.850 Acc@5 97.780
train 207 ====> Acc@1 87.928 Acc@5 99.596
sparsity 207 ====> 51.83% || num_zero/num_total: 443581/855770
valid 207 ====> Acc@1 78.530 Acc@5 98.770
train 208 ====> Acc@1 88.108 Acc@5 99.588
sparsity 208 ====> 51.83% || num_zero/num_total: 443581/855770
valid 208 ====> Acc@1 77.730 Acc@5 98.730
train 209 ====> Acc@1 87.826 Acc@5 99.588
sparsity 209 ====> 51.83% || num_zero/num_total: 443581/855770
valid 209 ====> Acc@1 77.910 Acc@5 98.370
train 210 ====> Acc@1 87.582 Acc@5 99.634
sparsity 210 ====> 51.83% || num_zero/num_total: 443581/855770
valid 210 ====> Acc@1 76.770 Acc@5 98.640
train 211 ====> Acc@1 87.918 Acc@5 99.646
sparsity 211 ====> 51.83% || num_zero/num_total: 443581/855770
valid 211 ====> Acc@1 79.390 Acc@5 98.770
train 212 ====> Acc@1 87.716 Acc@5 99.612
sparsity 212 ====> 51.83% || num_zero/num_total: 443581/855770
valid 212 ====> Acc@1 78.470 Acc@5 98.610
train 213 ====> Acc@1 88.010 Acc@5 99.624
sparsity 213 ====> 51.83% || num_zero/num_total: 443581/855770
valid 213 ====> Acc@1 74.980 Acc@5 98.050
train 214 ====> Acc@1 88.004 Acc@5 99.656
sparsity 214 ====> 51.83% || num_zero/num_total: 443581/855770
valid 214 ====> Acc@1 72.420 Acc@5 98.260
train 215 ====> Acc@1 87.992 Acc@5 99.664
sparsity 215 ====> 51.83% || num_zero/num_total: 443581/855770
valid 215 ====> Acc@1 79.700 Acc@5 98.580
train 216 ====> Acc@1 87.942 Acc@5 99.646
sparsity 216 ====> 51.83% || num_zero/num_total: 443581/855770
valid 216 ====> Acc@1 74.870 Acc@5 97.600
train 217 ====> Acc@1 88.058 Acc@5 99.634
sparsity 217 ====> 51.83% || num_zero/num_total: 443581/855770
valid 217 ====> Acc@1 80.570 Acc@5 98.850
train 218 ====> Acc@1 87.926 Acc@5 99.602
sparsity 218 ====> 51.83% || num_zero/num_total: 443581/855770
valid 218 ====> Acc@1 79.360 Acc@5 98.690
train 219 ====> Acc@1 88.150 Acc@5 99.594
sparsity 219 ====> 51.83% || num_zero/num_total: 443581/855770
valid 219 ====> Acc@1 76.030 Acc@5 97.750
train 220 ====> Acc@1 88.206 Acc@5 99.644
sparsity 220 ====> 51.83% || num_zero/num_total: 443581/855770
valid 220 ====> Acc@1 74.340 Acc@5 97.650
train 221 ====> Acc@1 88.146 Acc@5 99.646
sparsity 221 ====> 51.83% || num_zero/num_total: 443581/855770
valid 221 ====> Acc@1 75.510 Acc@5 97.530
train 222 ====> Acc@1 88.054 Acc@5 99.668
sparsity 222 ====> 51.83% || num_zero/num_total: 443581/855770
valid 222 ====> Acc@1 79.140 Acc@5 98.520
train 223 ====> Acc@1 87.744 Acc@5 99.582
sparsity 223 ====> 51.83% || num_zero/num_total: 443581/855770
valid 223 ====> Acc@1 74.030 Acc@5 98.680
train 224 ====> Acc@1 88.316 Acc@5 99.600
sparsity 224 ====> 51.83% || num_zero/num_total: 443581/855770
valid 224 ====> Acc@1 77.910 Acc@5 98.240
train 225 ====> Acc@1 87.856 Acc@5 99.648
sparsity 225 ====> 51.83% || num_zero/num_total: 443581/855770
valid 225 ====> Acc@1 76.700 Acc@5 98.440
train 226 ====> Acc@1 87.978 Acc@5 99.666
sparsity 226 ====> 51.83% || num_zero/num_total: 443581/855770
valid 226 ====> Acc@1 80.890 Acc@5 98.960
train 227 ====> Acc@1 88.348 Acc@5 99.668
sparsity 227 ====> 51.83% || num_zero/num_total: 443581/855770
valid 227 ====> Acc@1 78.600 Acc@5 98.610
train 228 ====> Acc@1 88.460 Acc@5 99.636
sparsity 228 ====> 51.83% || num_zero/num_total: 443581/855770
valid 228 ====> Acc@1 74.430 Acc@5 98.840
train 229 ====> Acc@1 88.394 Acc@5 99.674
sparsity 229 ====> 51.83% || num_zero/num_total: 443581/855770
valid 229 ====> Acc@1 75.990 Acc@5 98.060
