Files already downloaded and verified
Files already downloaded and verified
prune rate 0.6 regularization odecay 0.7
train 0 ====> Acc@1 18.526 Acc@5 70.562
sparsity 0 ====> 75.94% || num_zero/num_total: 649872/855770
valid 0 ====> Acc@1 21.320 Acc@5 77.470
train 1 ====> Acc@1 25.826 Acc@5 80.748
sparsity 1 ====> 72.01% || num_zero/num_total: 616214/855770
valid 1 ====> Acc@1 26.320 Acc@5 82.080
train 2 ====> Acc@1 28.504 Acc@5 83.398
sparsity 2 ====> 72.06% || num_zero/num_total: 616646/855770
valid 2 ====> Acc@1 28.400 Acc@5 84.670
train 3 ====> Acc@1 31.678 Acc@5 85.610
sparsity 3 ====> 72.09% || num_zero/num_total: 616934/855770
valid 3 ====> Acc@1 30.000 Acc@5 82.680
train 4 ====> Acc@1 32.094 Acc@5 85.524
sparsity 4 ====> 71.42% || num_zero/num_total: 611224/855770
valid 4 ====> Acc@1 21.950 Acc@5 74.960
train 5 ====> Acc@1 32.026 Acc@5 85.150
sparsity 5 ====> 71.36% || num_zero/num_total: 610675/855770
valid 5 ====> Acc@1 35.050 Acc@5 85.620
train 6 ====> Acc@1 33.724 Acc@5 86.642
sparsity 6 ====> 71.28% || num_zero/num_total: 609955/855770
valid 6 ====> Acc@1 32.860 Acc@5 84.060
train 7 ====> Acc@1 35.500 Acc@5 87.756
sparsity 7 ====> 71.31% || num_zero/num_total: 610243/855770
valid 7 ====> Acc@1 35.360 Acc@5 88.070
train 8 ====> Acc@1 36.598 Acc@5 88.296
sparsity 8 ====> 71.36% || num_zero/num_total: 610675/855770
valid 8 ====> Acc@1 34.810 Acc@5 85.120
train 9 ====> Acc@1 37.900 Acc@5 88.694
sparsity 9 ====> 71.33% || num_zero/num_total: 610387/855770
valid 9 ====> Acc@1 39.540 Acc@5 89.070
train 10 ====> Acc@1 38.356 Acc@5 88.808
sparsity 10 ====> 71.39% || num_zero/num_total: 610963/855770
valid 10 ====> Acc@1 34.660 Acc@5 88.290
train 11 ====> Acc@1 39.206 Acc@5 89.584
sparsity 11 ====> 71.36% || num_zero/num_total: 610675/855770
valid 11 ====> Acc@1 34.260 Acc@5 85.650
train 12 ====> Acc@1 40.112 Acc@5 89.758
sparsity 12 ====> 71.36% || num_zero/num_total: 610675/855770
valid 12 ====> Acc@1 33.430 Acc@5 86.140
train 13 ====> Acc@1 40.366 Acc@5 90.132
sparsity 13 ====> 71.36% || num_zero/num_total: 610675/855770
valid 13 ====> Acc@1 43.310 Acc@5 91.070
train 14 ====> Acc@1 41.078 Acc@5 90.580
sparsity 14 ====> 71.36% || num_zero/num_total: 610675/855770
valid 14 ====> Acc@1 37.870 Acc@5 87.710
train 15 ====> Acc@1 41.470 Acc@5 90.544
sparsity 15 ====> 71.36% || num_zero/num_total: 610675/855770
valid 15 ====> Acc@1 38.190 Acc@5 89.540
train 16 ====> Acc@1 42.426 Acc@5 90.726
sparsity 16 ====> 71.39% || num_zero/num_total: 610963/855770
valid 16 ====> Acc@1 38.820 Acc@5 88.380
train 17 ====> Acc@1 42.806 Acc@5 91.136
sparsity 17 ====> 71.39% || num_zero/num_total: 610963/855770
valid 17 ====> Acc@1 40.000 Acc@5 90.470
train 18 ====> Acc@1 43.822 Acc@5 91.452
sparsity 18 ====> 71.39% || num_zero/num_total: 610963/855770
valid 18 ====> Acc@1 41.490 Acc@5 91.100
train 19 ====> Acc@1 44.828 Acc@5 91.526
sparsity 19 ====> 71.39% || num_zero/num_total: 610963/855770
valid 19 ====> Acc@1 42.700 Acc@5 90.780
train 20 ====> Acc@1 45.190 Acc@5 91.656
sparsity 20 ====> 71.39% || num_zero/num_total: 610963/855770
valid 20 ====> Acc@1 43.920 Acc@5 90.880
train 21 ====> Acc@1 45.412 Acc@5 91.754
sparsity 21 ====> 71.39% || num_zero/num_total: 610963/855770
valid 21 ====> Acc@1 40.810 Acc@5 90.640
train 22 ====> Acc@1 46.018 Acc@5 92.022
sparsity 22 ====> 71.39% || num_zero/num_total: 610963/855770
valid 22 ====> Acc@1 47.580 Acc@5 92.110
train 23 ====> Acc@1 46.730 Acc@5 92.258
sparsity 23 ====> 71.39% || num_zero/num_total: 610963/855770
valid 23 ====> Acc@1 48.070 Acc@5 92.860
train 24 ====> Acc@1 46.920 Acc@5 92.344
sparsity 24 ====> 71.39% || num_zero/num_total: 610963/855770
valid 24 ====> Acc@1 46.960 Acc@5 92.450
train 25 ====> Acc@1 47.464 Acc@5 92.536
sparsity 25 ====> 71.36% || num_zero/num_total: 610675/855770
valid 25 ====> Acc@1 46.430 Acc@5 92.450
train 26 ====> Acc@1 47.746 Acc@5 92.674
sparsity 26 ====> 71.39% || num_zero/num_total: 610963/855770
valid 26 ====> Acc@1 46.040 Acc@5 91.260
train 27 ====> Acc@1 48.736 Acc@5 92.922
sparsity 27 ====> 71.39% || num_zero/num_total: 610963/855770
valid 27 ====> Acc@1 40.320 Acc@5 89.800
train 28 ====> Acc@1 49.618 Acc@5 92.946
sparsity 28 ====> 71.39% || num_zero/num_total: 610963/855770
valid 28 ====> Acc@1 48.990 Acc@5 93.600
train 29 ====> Acc@1 49.264 Acc@5 93.198
sparsity 29 ====> 71.39% || num_zero/num_total: 610963/855770
valid 29 ====> Acc@1 48.800 Acc@5 92.980
train 30 ====> Acc@1 49.520 Acc@5 93.396
sparsity 30 ====> 71.39% || num_zero/num_total: 610963/855770
valid 30 ====> Acc@1 49.350 Acc@5 93.690
train 31 ====> Acc@1 49.868 Acc@5 93.454
sparsity 31 ====> 71.39% || num_zero/num_total: 610963/855770
valid 31 ====> Acc@1 44.460 Acc@5 91.640
train 32 ====> Acc@1 50.204 Acc@5 93.496
sparsity 32 ====> 71.39% || num_zero/num_total: 610963/855770
valid 32 ====> Acc@1 49.360 Acc@5 93.590
train 33 ====> Acc@1 50.390 Acc@5 93.622
sparsity 33 ====> 71.39% || num_zero/num_total: 610963/855770
valid 33 ====> Acc@1 47.390 Acc@5 92.150
train 34 ====> Acc@1 50.548 Acc@5 93.656
sparsity 34 ====> 71.39% || num_zero/num_total: 610963/855770
valid 34 ====> Acc@1 48.050 Acc@5 92.580
train 35 ====> Acc@1 51.092 Acc@5 93.926
sparsity 35 ====> 71.39% || num_zero/num_total: 610963/855770
valid 35 ====> Acc@1 48.900 Acc@5 93.240
train 36 ====> Acc@1 51.524 Acc@5 93.924
sparsity 36 ====> 71.39% || num_zero/num_total: 610963/855770
valid 36 ====> Acc@1 47.160 Acc@5 91.090
train 37 ====> Acc@1 52.180 Acc@5 94.036
sparsity 37 ====> 71.39% || num_zero/num_total: 610963/855770
valid 37 ====> Acc@1 51.390 Acc@5 94.230
train 38 ====> Acc@1 52.044 Acc@5 94.146
sparsity 38 ====> 71.39% || num_zero/num_total: 610963/855770
valid 38 ====> Acc@1 51.850 Acc@5 94.000
train 39 ====> Acc@1 52.444 Acc@5 94.408
sparsity 39 ====> 71.39% || num_zero/num_total: 610963/855770
valid 39 ====> Acc@1 53.040 Acc@5 94.060
train 40 ====> Acc@1 53.026 Acc@5 94.206
sparsity 40 ====> 71.42% || num_zero/num_total: 611219/855770
valid 40 ====> Acc@1 50.520 Acc@5 93.380
train 41 ====> Acc@1 52.660 Acc@5 94.174
sparsity 41 ====> 71.46% || num_zero/num_total: 611507/855770
valid 41 ====> Acc@1 52.340 Acc@5 93.830
train 42 ====> Acc@1 53.698 Acc@5 94.452
sparsity 42 ====> 71.46% || num_zero/num_total: 611507/855770
valid 42 ====> Acc@1 47.590 Acc@5 92.440
train 43 ====> Acc@1 53.658 Acc@5 94.566
sparsity 43 ====> 71.46% || num_zero/num_total: 611507/855770
valid 43 ====> Acc@1 54.010 Acc@5 93.670
train 44 ====> Acc@1 54.502 Acc@5 94.710
sparsity 44 ====> 71.46% || num_zero/num_total: 611507/855770
valid 44 ====> Acc@1 53.500 Acc@5 93.910
