Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 0.7
train 0 ====> Acc@1 12.084 Acc@5 54.964
sparsity 0 ====> 48.47% || num_zero/num_total: 414765/855770
valid 0 ====> Acc@1 13.700 Acc@5 60.140
train 1 ====> Acc@1 19.158 Acc@5 72.014
sparsity 1 ====> 48.97% || num_zero/num_total: 419069/855770
valid 1 ====> Acc@1 20.970 Acc@5 78.360
train 2 ====> Acc@1 23.550 Acc@5 79.724
sparsity 2 ====> 49.10% || num_zero/num_total: 420221/855770
valid 2 ====> Acc@1 27.780 Acc@5 81.990
train 3 ====> Acc@1 26.342 Acc@5 81.952
sparsity 3 ====> 49.07% || num_zero/num_total: 419933/855770
valid 3 ====> Acc@1 27.760 Acc@5 84.110
train 4 ====> Acc@1 29.454 Acc@5 84.196
sparsity 4 ====> 49.14% || num_zero/num_total: 420509/855770
valid 4 ====> Acc@1 32.690 Acc@5 86.910
train 5 ====> Acc@1 31.780 Acc@5 85.930
sparsity 5 ====> 49.14% || num_zero/num_total: 420509/855770
valid 5 ====> Acc@1 35.850 Acc@5 87.860
train 6 ====> Acc@1 32.486 Acc@5 86.414
sparsity 6 ====> 49.17% || num_zero/num_total: 420797/855770
valid 6 ====> Acc@1 32.990 Acc@5 85.660
train 7 ====> Acc@1 35.092 Acc@5 87.838
sparsity 7 ====> 49.07% || num_zero/num_total: 419949/855770
valid 7 ====> Acc@1 34.230 Acc@5 86.380
train 8 ====> Acc@1 36.372 Acc@5 88.476
sparsity 8 ====> 49.17% || num_zero/num_total: 420797/855770
valid 8 ====> Acc@1 38.050 Acc@5 88.760
train 9 ====> Acc@1 37.248 Acc@5 88.908
sparsity 9 ====> 49.14% || num_zero/num_total: 420509/855770
valid 9 ====> Acc@1 37.510 Acc@5 88.800
train 10 ====> Acc@1 38.462 Acc@5 89.274
sparsity 10 ====> 49.04% || num_zero/num_total: 419672/855770
valid 10 ====> Acc@1 37.620 Acc@5 89.430
train 11 ====> Acc@1 39.240 Acc@5 89.420
sparsity 11 ====> 49.04% || num_zero/num_total: 419672/855770
valid 11 ====> Acc@1 38.950 Acc@5 89.690
train 12 ====> Acc@1 39.736 Acc@5 89.682
sparsity 12 ====> 49.01% || num_zero/num_total: 419384/855770
valid 12 ====> Acc@1 39.710 Acc@5 88.290
train 13 ====> Acc@1 40.410 Acc@5 89.942
sparsity 13 ====> 49.07% || num_zero/num_total: 419960/855770
valid 13 ====> Acc@1 40.030 Acc@5 89.260
train 14 ====> Acc@1 40.834 Acc@5 90.254
sparsity 14 ====> 49.07% || num_zero/num_total: 419960/855770
valid 14 ====> Acc@1 38.850 Acc@5 88.850
train 15 ====> Acc@1 41.530 Acc@5 90.380
sparsity 15 ====> 49.11% || num_zero/num_total: 420248/855770
valid 15 ====> Acc@1 40.580 Acc@5 89.340
train 16 ====> Acc@1 42.194 Acc@5 90.742
sparsity 16 ====> 49.11% || num_zero/num_total: 420248/855770
valid 16 ====> Acc@1 44.100 Acc@5 91.090
train 17 ====> Acc@1 42.940 Acc@5 90.998
sparsity 17 ====> 49.11% || num_zero/num_total: 420248/855770
valid 17 ====> Acc@1 44.830 Acc@5 91.640
train 18 ====> Acc@1 43.564 Acc@5 91.260
sparsity 18 ====> 49.11% || num_zero/num_total: 420248/855770
valid 18 ====> Acc@1 45.360 Acc@5 91.860
train 19 ====> Acc@1 44.830 Acc@5 91.518
sparsity 19 ====> 49.07% || num_zero/num_total: 419960/855770
valid 19 ====> Acc@1 43.290 Acc@5 92.320
train 20 ====> Acc@1 45.480 Acc@5 91.886
