Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 0.8
train 36 ====> Acc@1 52.148 Acc@5 93.790
sparsity 36 ====> 50.65% || num_zero/num_total: 433443/855770
valid 36 ====> Acc@1 49.270 Acc@5 91.930
train 37 ====> Acc@1 52.536 Acc@5 93.878
sparsity 37 ====> 50.62% || num_zero/num_total: 433155/855770
valid 37 ====> Acc@1 46.240 Acc@5 93.130
train 38 ====> Acc@1 52.524 Acc@5 94.000
sparsity 38 ====> 50.62% || num_zero/num_total: 433155/855770
valid 38 ====> Acc@1 51.610 Acc@5 93.820
train 39 ====> Acc@1 53.242 Acc@5 93.860
sparsity 39 ====> 50.62% || num_zero/num_total: 433155/855770
valid 39 ====> Acc@1 52.860 Acc@5 93.810
train 40 ====> Acc@1 53.526 Acc@5 94.166
sparsity 40 ====> 50.65% || num_zero/num_total: 433443/855770
valid 40 ====> Acc@1 53.370 Acc@5 93.450
train 41 ====> Acc@1 53.944 Acc@5 94.068
sparsity 41 ====> 50.65% || num_zero/num_total: 433443/855770
valid 41 ====> Acc@1 52.390 Acc@5 93.780
train 42 ====> Acc@1 54.098 Acc@5 94.258
sparsity 42 ====> 50.65% || num_zero/num_total: 433443/855770
valid 42 ====> Acc@1 53.440 Acc@5 93.640
train 43 ====> Acc@1 53.972 Acc@5 94.264
sparsity 43 ====> 50.65% || num_zero/num_total: 433443/855770
valid 43 ====> Acc@1 47.080 Acc@5 92.580
train 44 ====> Acc@1 54.188 Acc@5 94.240
sparsity 44 ====> 50.65% || num_zero/num_total: 433443/855770
valid 44 ====> Acc@1 50.830 Acc@5 93.130
train 45 ====> Acc@1 54.462 Acc@5 94.314
sparsity 45 ====> 50.65% || num_zero/num_total: 433443/855770
valid 45 ====> Acc@1 50.480 Acc@5 93.080
train 46 ====> Acc@1 54.468 Acc@5 94.342
sparsity 46 ====> 50.62% || num_zero/num_total: 433155/855770
valid 46 ====> Acc@1 53.040 Acc@5 94.230
train 47 ====> Acc@1 54.742 Acc@5 94.534
sparsity 47 ====> 50.58% || num_zero/num_total: 432867/855770
valid 47 ====> Acc@1 44.180 Acc@5 90.500
train 48 ====> Acc@1 55.490 Acc@5 94.582
sparsity 48 ====> 50.58% || num_zero/num_total: 432867/855770
valid 48 ====> Acc@1 45.630 Acc@5 90.540
train 49 ====> Acc@1 55.724 Acc@5 94.642
sparsity 49 ====> 50.55% || num_zero/num_total: 432579/855770
valid 49 ====> Acc@1 53.530 Acc@5 93.380
train 50 ====> Acc@1 56.034 Acc@5 94.756
sparsity 50 ====> 50.58% || num_zero/num_total: 432867/855770
valid 50 ====> Acc@1 56.380 Acc@5 94.370
train 51 ====> Acc@1 56.098 Acc@5 94.714
sparsity 51 ====> 50.58% || num_zero/num_total: 432867/855770
valid 51 ====> Acc@1 47.100 Acc@5 92.600
train 52 ====> Acc@1 56.452 Acc@5 94.778
sparsity 52 ====> 50.55% || num_zero/num_total: 432579/855770
valid 52 ====> Acc@1 41.160 Acc@5 90.170
train 53 ====> Acc@1 56.796 Acc@5 94.758
sparsity 53 ====> 50.63% || num_zero/num_total: 433299/855770
valid 53 ====> Acc@1 53.330 Acc@5 94.160
train 54 ====> Acc@1 57.618 Acc@5 94.974
sparsity 54 ====> 50.57% || num_zero/num_total: 432723/855770
valid 54 ====> Acc@1 54.620 Acc@5 94.020
train 55 ====> Acc@1 57.506 Acc@5 95.062
sparsity 55 ====> 50.63% || num_zero/num_total: 433299/855770
valid 55 ====> Acc@1 45.110 Acc@5 90.400
train 56 ====> Acc@1 57.996 Acc@5 95.110
sparsity 56 ====> 50.60% || num_zero/num_total: 433011/855770
valid 56 ====> Acc@1 41.910 Acc@5 92.810
train 57 ====> Acc@1 58.472 Acc@5 95.274
sparsity 57 ====> 50.63% || num_zero/num_total: 433299/855770
valid 57 ====> Acc@1 56.270 Acc@5 95.330
train 58 ====> Acc@1 58.718 Acc@5 95.380
sparsity 58 ====> 50.63% || num_zero/num_total: 433299/855770
valid 58 ====> Acc@1 34.260 Acc@5 85.290
train 59 ====> Acc@1 59.276 Acc@5 95.430
sparsity 59 ====> 50.63% || num_zero/num_total: 433299/855770
valid 59 ====> Acc@1 47.670 Acc@5 91.310
train 60 ====> Acc@1 59.732 Acc@5 95.456
sparsity 60 ====> 50.63% || num_zero/num_total: 433299/855770
valid 60 ====> Acc@1 47.910 Acc@5 89.900
train 61 ====> Acc@1 59.916 Acc@5 95.662
sparsity 61 ====> 50.63% || num_zero/num_total: 433299/855770
valid 61 ====> Acc@1 51.550 Acc@5 94.150
train 62 ====> Acc@1 60.418 Acc@5 95.624
sparsity 62 ====> 50.63% || num_zero/num_total: 433299/855770
valid 62 ====> Acc@1 56.930 Acc@5 95.760
train 63 ====> Acc@1 60.400 Acc@5 95.706
sparsity 63 ====> 50.60% || num_zero/num_total: 433011/855770
valid 63 ====> Acc@1 54.970 Acc@5 93.810
train 64 ====> Acc@1 60.836 Acc@5 95.890
sparsity 64 ====> 50.63% || num_zero/num_total: 433299/855770
valid 64 ====> Acc@1 59.810 Acc@5 95.560
train 65 ====> Acc@1 61.700 Acc@5 95.882
sparsity 65 ====> 50.63% || num_zero/num_total: 433299/855770
valid 65 ====> Acc@1 53.480 Acc@5 93.330
train 66 ====> Acc@1 60.936 Acc@5 96.010
sparsity 66 ====> 50.63% || num_zero/num_total: 433299/855770
valid 66 ====> Acc@1 56.330 Acc@5 95.060
train 67 ====> Acc@1 61.772 Acc@5 96.002
sparsity 67 ====> 50.63% || num_zero/num_total: 433299/855770
valid 67 ====> Acc@1 59.490 Acc@5 95.860
train 68 ====> Acc@1 62.390 Acc@5 96.138
sparsity 68 ====> 50.60% || num_zero/num_total: 433011/855770
valid 68 ====> Acc@1 44.400 Acc@5 89.710
train 69 ====> Acc@1 62.692 Acc@5 96.278
sparsity 69 ====> 50.53% || num_zero/num_total: 432435/855770
valid 69 ====> Acc@1 58.470 Acc@5 95.610
train 70 ====> Acc@1 62.652 Acc@5 96.276
sparsity 70 ====> 50.50% || num_zero/num_total: 432147/855770
valid 70 ====> Acc@1 56.020 Acc@5 94.810
train 71 ====> Acc@1 63.138 Acc@5 96.346
sparsity 71 ====> 50.50% || num_zero/num_total: 432147/855770
valid 71 ====> Acc@1 58.660 Acc@5 94.760
train 72 ====> Acc@1 63.218 Acc@5 96.450
sparsity 72 ====> 50.50% || num_zero/num_total: 432147/855770
valid 72 ====> Acc@1 62.870 Acc@5 96.040
train 73 ====> Acc@1 63.666 Acc@5 96.532
sparsity 73 ====> 50.50% || num_zero/num_total: 432147/855770
valid 73 ====> Acc@1 55.920 Acc@5 93.710
train 74 ====> Acc@1 64.072 Acc@5 96.518
sparsity 74 ====> 50.46% || num_zero/num_total: 431859/855770
valid 74 ====> Acc@1 46.990 Acc@5 90.410
train 75 ====> Acc@1 64.424 Acc@5 96.722
sparsity 75 ====> 50.46% || num_zero/num_total: 431859/855770
valid 75 ====> Acc@1 55.260 Acc@5 93.470
train 76 ====> Acc@1 65.132 Acc@5 96.718
sparsity 76 ====> 50.46% || num_zero/num_total: 431859/855770
valid 76 ====> Acc@1 60.990 Acc@5 96.210
train 77 ====> Acc@1 65.544 Acc@5 96.674
sparsity 77 ====> 50.46% || num_zero/num_total: 431859/855770
valid 77 ====> Acc@1 62.500 Acc@5 96.230
train 78 ====> Acc@1 65.414 Acc@5 96.820
sparsity 78 ====> 50.46% || num_zero/num_total: 431859/855770
valid 78 ====> Acc@1 57.620 Acc@5 92.540
train 79 ====> Acc@1 66.018 Acc@5 96.862
sparsity 79 ====> 50.46% || num_zero/num_total: 431859/855770
valid 79 ====> Acc@1 58.560 Acc@5 94.780
train 80 ====> Acc@1 66.180 Acc@5 96.978
sparsity 80 ====> 50.46% || num_zero/num_total: 431859/855770
valid 80 ====> Acc@1 57.880 Acc@5 94.850
train 81 ====> Acc@1 66.628 Acc@5 97.128
sparsity 81 ====> 50.46% || num_zero/num_total: 431859/855770
