Files already downloaded and verified
Files already downloaded and verified
prune rate 0.6 regularization odecay 0.8
train 0 ====> Acc@1 16.738 Acc@5 68.950
sparsity 0 ====> 76.18% || num_zero/num_total: 651920/855770
valid 0 ====> Acc@1 13.230 Acc@5 57.890
train 1 ====> Acc@1 24.932 Acc@5 80.294
sparsity 1 ====> 71.15% || num_zero/num_total: 608918/855770
valid 1 ====> Acc@1 24.250 Acc@5 79.000
train 2 ====> Acc@1 30.752 Acc@5 84.210
sparsity 2 ====> 71.28% || num_zero/num_total: 609975/855770
valid 2 ====> Acc@1 33.670 Acc@5 86.190
train 3 ====> Acc@1 31.596 Acc@5 85.106
sparsity 3 ====> 71.31% || num_zero/num_total: 610263/855770
valid 3 ====> Acc@1 33.640 Acc@5 86.700
train 4 ====> Acc@1 34.016 Acc@5 86.764
sparsity 4 ====> 71.24% || num_zero/num_total: 609687/855770
valid 4 ====> Acc@1 35.160 Acc@5 88.350
train 5 ====> Acc@1 34.954 Acc@5 87.312
sparsity 5 ====> 71.25% || num_zero/num_total: 609714/855770
valid 5 ====> Acc@1 38.100 Acc@5 88.350
train 6 ====> Acc@1 36.454 Acc@5 88.238
sparsity 6 ====> 71.18% || num_zero/num_total: 609138/855770
valid 6 ====> Acc@1 38.400 Acc@5 88.350
train 7 ====> Acc@1 37.214 Acc@5 88.862
sparsity 7 ====> 71.25% || num_zero/num_total: 609714/855770
valid 7 ====> Acc@1 38.490 Acc@5 89.030
train 8 ====> Acc@1 38.520 Acc@5 89.094
sparsity 8 ====> 71.25% || num_zero/num_total: 609714/855770
valid 8 ====> Acc@1 40.550 Acc@5 90.290
train 9 ====> Acc@1 39.312 Acc@5 89.718
sparsity 9 ====> 71.25% || num_zero/num_total: 609714/855770
valid 9 ====> Acc@1 37.570 Acc@5 88.960
train 10 ====> Acc@1 39.432 Acc@5 89.654
sparsity 10 ====> 71.25% || num_zero/num_total: 609714/855770
valid 10 ====> Acc@1 36.360 Acc@5 88.490
train 11 ====> Acc@1 39.916 Acc@5 90.046
sparsity 11 ====> 71.25% || num_zero/num_total: 609714/855770
valid 11 ====> Acc@1 41.130 Acc@5 91.000
train 12 ====> Acc@1 40.666 Acc@5 90.308
sparsity 12 ====> 71.25% || num_zero/num_total: 609714/855770
valid 12 ====> Acc@1 37.290 Acc@5 87.210
train 13 ====> Acc@1 40.932 Acc@5 90.294
sparsity 13 ====> 71.25% || num_zero/num_total: 609714/855770
valid 13 ====> Acc@1 41.310 Acc@5 90.380
train 14 ====> Acc@1 40.986 Acc@5 90.672
sparsity 14 ====> 71.25% || num_zero/num_total: 609714/855770
valid 14 ====> Acc@1 40.800 Acc@5 89.550
train 15 ====> Acc@1 41.454 Acc@5 90.662
sparsity 15 ====> 71.16% || num_zero/num_total: 608994/855770
valid 15 ====> Acc@1 39.360 Acc@5 88.510
train 16 ====> Acc@1 41.444 Acc@5 90.760
sparsity 16 ====> 71.25% || num_zero/num_total: 609714/855770
valid 16 ====> Acc@1 39.190 Acc@5 89.890
train 17 ====> Acc@1 42.510 Acc@5 91.176
sparsity 17 ====> 71.21% || num_zero/num_total: 609426/855770
valid 17 ====> Acc@1 40.650 Acc@5 90.580
train 18 ====> Acc@1 43.000 Acc@5 91.590
sparsity 18 ====> 71.25% || num_zero/num_total: 609714/855770
valid 18 ====> Acc@1 40.680 Acc@5 90.910
train 19 ====> Acc@1 43.696 Acc@5 91.664
sparsity 19 ====> 71.25% || num_zero/num_total: 609714/855770
